SONIKA	ಸೋನಿಕಾ
UNIVERSITY OF PAISLEY	ಯುನಿವರ್ಸಿಟಿ ಆಫ್ ಪೈಸ್ಲೇ
PALLADIUM	ಪೆಲ್ಲಾಡಿಯಂ
NUSOM	ನೂಸೋಮ್
GRINHAM	ಗ್ರಿನ್‌ಹ್ಯಾಮ್
KHUSH BAKHT	ಖುಷ್ ಭಕ್ತ್
IRAI	ಇರಾಯ್
NORFOLK ISLAND	ನಾರ್‌ಫೋಕ್ ಐಲ್ಯಾಂಡ್
Sapan	ಸಪನ್
SHERKAR	ಶೇರ್ಕರ್
MOINES	ಮೊಯ್ನ್ಸ್
NAPOLI	ನಪೋಲಿ
DEEPTIKANA	ದೀಪ್ತಿಕಾನಾ
Kaitlyn	ಕೇಟ್ಲಿನ್
JUNDUB	ಜುನ್‌ದುಬ್
Ankai	ಅಂಕೈ
HEMANTHA BOTEJU	ಹೇಮಂತ ಬೊಟೆಜು
HAMDAN	ಹಮದನ್
CHAMUNDESWARI	ಚಾಮುಂಡೇಶ್ವರಿ
HIND SANITARY	ಹಿಂದ್ ಸ್ಯಾನಿಟರಿ
AA'IDAH	ಆಇದಾ
RAMNARINE	ರಾಮನಾರಾಯಣ್
MUSTAQEEM	ಮುಸ್ತಖೀಮ್
BEETE DIN	ಬೀತೆ ದಿನ್
Japan	ಜಪಾನ್
DAILWARA	ದೈಲ್‌ವಾರಾ
Shailesh	ಶೈಲೇಶ್
Shailesh	ಶೈಲೇಶ
Shailesh	ಶೈಲೇಶಾ
FREDERICK FUNSTON	ಫ್ರೆಡ್ರಿಕ್ ಫನ್‌ಸ್ಟನ್
MCKILE	ಮೆಕಿಲಿ
AJISH	ಅಜೀಶ್
CUICA	ಸಿಕಾ
ARSHAQ	ಅರ್ಷಾಕ್
KHALIDAH	ಖಲೀದಾ
MUTAZAH	ಮುತಾಝಾ
GURUDWARA CHARAN KANWAL SAHIB	ಗುರುದ್ವಾರ ಚರಣ್ ಕನ್ವಲ್ ಸಾಹಿಬ್
SAMARJIT	ಸಮರಜಿತ್
MOHAMMAD KAIF	ಮೊಹ್ಮದ್ ಕೈಫ್
HIM	ಹಿಮ್
PRAJ INDUSTRIES	ಪ್ರಜ್ ಇಂಡಸ್ಟ್ರೀಸ್
RASBIHARI	ರಾಸಬಿಹಾರಿ
SHIVNARINE CHANDERPAUL	ಶಿವನಾರಾಯಣ್ ಚಂದ್ರಪಾಲ್
Neelmani	ನೀಲಮಣಿ
RAGHNALL	ರಾಘನಲ್
DAPODI	ದಾಪೋದೀ
CHASTITY	ಚೆಸ್ಟೀ
KIMBERLY	ಕಿಂಬರ್ಲಿ
Mobile	ಮೊಬೈಲ್
INDAL	ಇಂಡಲ್
ZURICH	ಜ್ಯೂರಿಕ್
JUNGLE BOY	ಜಂಗಲ್ ಬಾಯ್
PEOPLE'S CHOICE AWARD	ಪೀಪಲ್ಸ್ ಚಾಯ್ಸ್ ಅವಾರ್ಡ್
SANAUBAR	ಸನೋಬರ್
HANASH	ಹನಷ್
BANCROFT PRIZE	ಬ್ಯಾಂಕ್ರಾಫ್ಟ್ ಪ್ರೈಜ್
BEGUINE	ಬೆಜ್ಯೂನಿ
BALLI	ಬಲ್ಲಿ
BALLI	ಬಾಲಿ
PRAKAT	ಪ್ರಕಟ
JENNIE	ಜೆನ್ನೀ
MULGAONKAR	ಮುಳಗಾವಕರ್
Darwaza	ದರವಾಜಾ
MANAGER	ಮೇನೇಜರ್
COBAIN	ಕೋಬೇನ್
BARSUAN	ಬರ್ಸುಯಾನ್
HERMES	ಹರ್ಮೀಸ್
EAST HUMBOLDT	ಈಸ್ಟ್ ಹಂಬೋಲ್ಡ್
AUCKLAND UNIVERSITY OF TECHNOLOGY	ಆಕ್ಲೆಂಡ್ ಯುನಿವರ್ಸಿಟಿ ಆಫ್ ಟೆಕ್ನಾಲಜಿ
RIK	ರಿಕ್
ARCHIT	ಅರ್ಚಿತ್
COURTNEY BROWNE	ಕೋರ್ಟ್ನಿ ಬ್ರೌನ್
Candie	ಕ್ಯಾಂಡೀ
SALUIN	ಸಾಲುಯಿನ್
Goldy	ಗೋಲ್ಡಿ
PAHELI	ಪಹೇಲಿ
NAI MAA	ನಯೀ ಮಾ
Kuvaleshay	ಕುವಲೇಶಯ
SARADA	ಸಾರದಾ
Induprabha	ಇಂದುಪ್ರಭಾ
PROFFITT	ಪ್ರಾಫಿಟ್
SARAMA	ಸರಮಾ
BENAZEER	ಬೆನಜೀರ್
NESTOR	ನೆಸ್ಟರ್
GLADSTONE SMALL	ಗ್ಲಾಸ್ಟೋನ್ ಸ್ಮಾಲ್
LUMPS FORT	ಲುಂಪ್ಸ್ ಫೋರ್ಟ್
CHARKHARI FORT	ಚರ್ಕಾರಿ ಫೋರ್ಟ್
SHOAIB MALIK	ಶೋಯೆಬ್ ಮಲಿಕ್
CHANDOK	ಚಂಡೋಕ್
CHANDOK	ಚಂದೋಕ್
NAACHE NAGIN GALI GALI	ನಾಚೆ ನಗಿನ್ ಗಲೀ ಗಲೀ
KAMPALA	ಕಂಪಾಲಾ
LAZZARO	ಲಝಾರೊ
VIDHI	ವಿಧಿ
VIDHI	ವಿಧೀ
RICHA	ರಿಚಾ
BAHLUL	ಬಾಹ್ಲಲ್
HAMAJOLEE	ಹಮಜೋಲಿ
AMBREESH	ಅಂಬರೀಶ್
PAUL NEWMAN	ಪೌಲ್ ನ್ಯೂಮ್ಯಾನ್
DASHARATH	ದಶರತ್
ADERYN	ಏಡೆರಿನ್
PAYAL KI JHANKAR	ಪಾಯಲ್ ಕಿ ಝನಕಾರ್
ALASTAIR COOK	ಅಲಾಸ್ಟೇರ್ ಕುಕ್
UNIVERSITY OF PORTSMOUTH	ಯುನಿವರ್ಸಿಟಿ ಆಫ್ ಪೋರ್ಟ್ಸ್ ಮೌತ್
IDANA	ಇಡನಾ
Toiyabe	ಟೊಯಬೆ
ANDREW STRAUSS	ಆಂಡ್ರ್ಯೂ ಸ್ಟ್ರಾವಸ್
BERGER PAINTS	ಬರ್ಜರ್ ಪೇಂಟ್ಸ್
BAHIYYAH	ಬಾಹಿಯಾ
SNEHLATAA	ಸ್ನೇಹಲತ
MARGED	ಮಾರ್ಗಡ್
VAHALKAR	ವಹಲ್‌ಕರ್
CARL TUCKETT	ಕಾರ್ಲ್ ಟಕೆಟ್
CARISSA	ಕ್ಯಾರಿಸ್ಸಾ
CHHOTA BAAP	ಛೋಟಾ ಬಾಪ್
SPIEL DES JAHRES	ಸ್ಪಿಲ್ ಡೆಸ್ ಜಹ್ರೆಸ್
BANK OF AMERICA PLAZA	ಬ್ಯಾಂಕ್ ಆಫ್ ಅಮೆರಿಕಾ ಪ್ಲಾಜಾ
GANANAAYAK	ಗಣನಾಯಕ
SHIKISHIMA	ಶಿಕಿಶಿಮಾ
MURAD	ಮುರದ್
MURAD	ಮುರಾದ್
BUHAYSAH	ಬುಹಾಯ್‌ಸಾ
DANNY SAWYER	ಡ್ಯಾನಿ ಸಾಯರ್
KALYANI STEELS	ಕಲ್ಯಾಣಿ ಸ್ಟ್ರೀಲ್ಸ್
LOKAPAAL	ಲೋಕಪಾಲ್
PAUL SIMON	ಪೌಲ್ ಸೈಮನ್
KURT	ಕುರ್ಟ್
Theola	ಥಿಯೋಲಾ
Shridula	ಶ್ರೀದುಲಾ
RUKANAH	ರುಕನಾಹ್
PANDIT	ಪಂಡಿತ್
SHPELLA	ಶ್ಪೆಲ್ಲಾ
SAHELI	ಸಹೇಲಿ
WINFIELD	ವಿನ್‌ಫೀಲ್ಡ್
Keer	ಕೀರ್
LAURENCE OLIVIER AWARDS	ಲಾರೆನ್ಸ್ ಓಲಿವರ್ಸ್ ಅವಾರ್ಡ್ಸ್
WESLEYAN	ವೆಸ್ಲೆಯಾನ್
ZYGOMALAS MUSEUM	ಜೈಗೋಮಲಾಸ್ ಮ್ಯೂಸಿಯಂ
SELKIRK	ಸೆಲ್‌ಕಿರ್ಕ್
UDITA	ಉದಿತಾ
GARLAND	ಗಾರಲಾಂಡ್
TUNGAARE	ತುಂಗಾರೆ
GOGAMUKH	ಗೋಗಾಮುಖ್
DELVADA	ದೆಲವಾಡಾ
ORGAN	ಒರ್ಗಾನ್
FIONA	ಫಿಯೋನಾ
NESTLE	ನೆಸ್ಲೆ
MADELEINE	ಮ್ಯಾಡೆಲೀನ್
COMPUGEN	ಕಂಪ್ಯೂಜೆನ್
LAARI	ಲಾರೀ
KURAL	ಕುರಾಲ್
MEDAL FOR OUTSTANDING CIVIC ACHIEVEMENT	ಮೆಡಲ್ ಫಾರ್ ಔಟ್‌ಸ್ಟ್ಯಾಂಡಿಂಗ್ ಸಿವಿಕ್ ಅಚೀವ್‌ಮೆಂಟ್
LOVE MARRIAGE	ಲವ್ ಮ್ಯಾರೇಜ್
LASHKAR	ಲಶ್ಚರ್
LASHKAR	ಲಷ್ಕರ್
LAHAK	ಲಹಕ್
CORNELIA	ಕಾರ್ನೇಲಿಯಾ
SATTA BAZAR	ಸಟ್ಟಾ ಬಾಜಾರ್
ITANAGAR	ಇಟಾನಗರ್
HAMISH ANTHONY	ಹಮೀಶ್ ಅಂತೋನಿ
CHELSI	ಚೆಲ್ಸೀ
COMPARSA	ಕಂಪಾರ್ಸಾ
AMBEDKARNAGAR	ಅಂಬೇಡ್ಕರ್ ನಗರ್
ASSAMESE	ಅಸ್ಸಾಮಿಸ್
DUGGAD	ದುಗ್ಗಡ್
KAELEM	ಕೇಲೆಮ್
Karin	ಕೇರಿನ್
AJAMIL	ಅಜಮಿಳ್
AJAMIL	ಅಜಾಮಿಲ್
HIDA	ಹಿಡಾ
BINDIYA AUR BANDOOK	ಬಿಂದಿಯಾ ಔರ್ ಬಂದೂಕ್
NATWAR	ನಟವರ್
MARSHA CLARK	ಮಾರ್ಶಾ ಕ್ಲಾರ್ಕ್
NAVEED	ನವೀದ್
SHOHO	ಶೋಹೋ
SHOKH DILRUBA	ಶೋಖ್ ದಿಲರುಬಾ
Faqih	ಫಕೀಹ್
MATKARI	ಮಾಟ್ಕಾರಿ
HUJAYRAH	ಹುಜೇರಾ
AAJ KA GUNDARAJ	ಆಜ್ ಕಾ ಗುಂಡರಾಜ್
PADNABHA	ಪದ್ಮನಾಭ
TITAN INDUSTRIES	ಟೈಟನ್ ಇಂಡಸ್ಟ್ರೀಸ್
TONY GREIG	ಟೋನಿ ಗ್ರೆಗ್
KAINJI DAM	ಕೈಂಜಿ ಡ್ಯಾಮ್
HANSTE ZAKHM	ಹಂಸ್ತೇ ಜಖ್ಮ್
JADUGAR DAKU	ಜಾದುಗರ್ ಡಾಕೂ
Jwala	ಜ್ವಾಲಾ
BRYAN STRANG	ಬ್ರಯಾನ್ ಸ್ಟ್ರಾಂಗ್
BODHAN	ಬೋಧನ್
BODHAN	ಬೋಧಾನ್
RUAPEHU	ರೂಪೆಹು
FIFI	ಫಿಫಿ
KRISTEN	ಕ್ರಿಸ್ಟನ್
EVEREADY IND	ಎವರೆಡೀ ಇಂಡ್
MILLER	ಮಿಲ್ಲರ್
Pushpen_dr	ಪುಷ್ಪೇಂದ್ರ
TRESCOTHICK	ಟ್ರೆಸ್ಕೋತಿಕ್
JYOTISHPUR	ಜ್ಯೋತಿಷ್ಪುರ
BARCHI ROAD	ಬರ್ಚಿ ರೋಡ್
Migros	ಮೈಗ್ರೋಸ್
NEELOFAR	ನೀಲೋಫರ್
HARRY POTTER	ಹ್ಯಾರಿ ಪಾಟರ್
BANDURRIA	ಬಂಡುರಿಯಾ
KRODHI	ಕ್ರೋಧಿ
KEVIN CURRAN	ಕೆವಿನ್ ಕುರನ್
BANDHEY	ಬಂಧೇ
RAAKHI	ರಾಖಿ
AURAV	ಔರವ್
NASHTAR	ನಶ್ತರ್
GERALDINE FERRERO	ಚೆರಾಲ್ಡಿನ್ ಫೆರೇರೋ
SREESANTH	ಶ್ರೀನಾಥ್
RABIA AL-ADAWIYA	ರಬೀಯಾ ಅಲ್-ಅದಾವಿಯಾ
CHIP	ಚಿಪ್
AGOSTINO	ಅಗೋಸ್ಟಿನೋ
CROWNHILL FORT	ಕ್ರೌನ್‌ಹಿಲ್ ಫೋರ್ಟ್
AMROHA	ಅಮರೋಹಾ
DO ROTI	ದೋ ರೋಟಿ
PARAMBIKULAM RESERVOIR	ಪರಂಬಿಕುಲಂ ರಿಜರ್ವಾಯರ್
CHRISTINA	ಕ್ರಿಸ್ಟಿನಾ
FERUMAN	ಫೆರೂಮನ್
MANOHAR	ಮನೋಹರ
MANOHAR	ಮನೋಹರ್
MELCHIOR	ಮೆಲ್ಚಿಯೋರ್
SAINT OLAVS MEDAL	ಸೇಂಟ್ ಒಲಾವ್ಸ್ ಮೆಡಲ್
SIDEWISE	ಸೈಡ್‌ವೈಸ್
FRANK FURT	ಫ್ರಾಂಕ್ ಫರ್ಟ್
FIROZPUR CANTONMENT	ಫಿರೋಜ್‌ಪುರ್ ಕಂಟೋನ್ಮೆಂಟ್
GOSHEN	ಗೋಶನ್
BAGHAULI	ಬಾಗೌಲಿ
MAD BHARE NAIN	ಮದ್ ಭರೆ ನೈನ್
ADELE	ಅಡೀಲ್
MAHAVIR	ಮಹಾವೀರ್
FORT LIGONIER	ಫೋರ್ಟ್ ಲಿಗೊನಿರ್
BAQI	ಬಾಕಿ
ANJAAN RAHEN	ಅಂಜಾನ್ ರಾಹೇ
DIXMUDE	ಡಿಕ್ಸ್‌ಮುಡೆ
Chitose	ಚಿಟೋಸಿ
TIM MAY	ಟಿಮ್ ಮೇ
HARI BHOOMI	ಹರಿ ಭೂಮಿ
JEANNE	ಜಿಯನ್ನಾ
PINAKIN	ಪಿನಾಕಿನಿ
PREETAM	ಪ್ರೀತಮ್
AHLAM	ಅಹ್ಲಮ್
THAKARE	ಥಾಕರೆ
FORT CHARLOTTE	ಫೋರ್ಟ್ ಚಾರ್ಲೊಟಿ
JHINUK	ಝಿನುಕ್
MARD	ಮರ್ದ್
Pimple	ಪಿಂಪಲ್
BARD	ಬರ್ದ್
MUJHE VACHAN DO	ಮುಝೆ ವಚನ್ ದೋ
DARD	ದರ್ದ್
Motocross	ಮೋಟೋಕ್ರಾಸ್
QATL	ಕತ್ಲ್
RUBAINA	ರುಬೈನಾ
ABHAYNANDA	ಅಭಯ್‌ನಂದ
JAL MAHAL	ಜಲ್ ಮಹಲ್
Chinmay	ಚಿನ್ಮಯ್
LLEWELLYN	ಲೆವೆಲಿನ್
BARNAGAR	ಬಾರ್‌ನಗರ್
MATTHIAS	ಮಥ್ಯಿಯಾಸ್
Hamzah	ಹಮ್ಜಾ
THE HARBOURSIDE	ದ ಹಾರ್ಬರ್‌ಸೈಡ್
Daduk	ಡಡುಕ್
SIRVAT	ಸಿರ್ವತ್
Aashutosh	ಅಶುತೋಷ್
BAARE	ಬಾರೆ
NAGARJUNA FERT	ನಾಗಾರ್ಜುನಾ ಫರ್ಟ್
KISKI PYARI	ಕಿಸ್ಕಿ ಪ್ಯಾರಿ
BIJURI	ಬಿಜುರೀ
SPENCE	ಸ್ಪೆನ್ಸ್
Falgun	ಫಲ್ಗುಣ್
BIG BROTHER AWARDS	ಬಿಗ್ ಬ್ರದರ್ ಅವಾರ್ಡ್ಸ್
TRETHEWEY	ಟ್ರೆಥವೆ
DHAMKEE	ಧಮಕಿ
Mahabala	ಮಹಾಬಲ
SHASTRI	ಶಾಸ್ತ್ರಿ
NOIDA	ನೋಯಿಡಾ
BHEERPUR	ಭೀರ್‌ಪುರ್
Ashlyn	ಆಶ್ಲಿನ್
BALRAJ	ಬಲರಾಜ್
AUBRIANNA	ಆಬ್ರಿಯಾನಾ
AMADEUS	ಅಮೆಡಿಯಸ್
DESHPANDE	ದೇಶಪಾಂಡೆ
MARATHWADA	ಮರಾಠ್‌ವಾಢಾ
BADHTI KA NAAM DADHI	ಬಟ್ಟಿ ಕಾ ನಾಮ್ ದಾಢಿ
RHODES AQUARIUM	ರೋಡ್ಸ್ ಅಕ್ವೇರಿಯಂ
BHAVANA	ಭಾವನಾ
STALIN	ಸ್ಟ್ಯಾಲಿನ್
Makati	ಮಕಟಿ
Belsiri	ಬೆಲ್‌ಸಿರಿ
AACHARYASUTA	ಆಚಾರ್ಯಸುತ
CHANDRAHAS	ಚಂದ್ರಹಾಸ
BHARTI AIR	ಭಾರತಿ ಏರ್
NATIONAL MEDAL OF SCIENCE	ನ್ಯಾಶನಲ್ ಮೆಡಲ್ ಆಫ್ ಸೈನ್ಸ್
MANIRAM	ಮಣಿರಾಮ್
BURAN	ಬುರಾನ್
SAAMBHI	ಸಾಂಭೀ
DUTCHESS	ಡಚೆಸ್
BURAJ	ಬುರಜ್
SHRINIVAS	ಶ್ರೀನಿವಾಸ್
KONGHOU	ಕಾಂಗೋ
SYNCHRONISED SWIMMING	ಸಿಂಕ್ರನೈಸ್ಡ್ ಸ್ವಿಂಮಿಂಗ್
ABDUL TAWWAB	ಅಬ್ದುಲ್ ತವ್ವಾಬ್
ATTICUS	ಏಟಿಕಸ್
MARV	ಮಾರ್ವ್
GIDDH	ಗಿದ್ಧ್
SITAPUR	ಸೀತಾಪುರ್
DALIYA	ದಲಿಯಾ
PRATOSH	ಪ್ರತೋಶ್
Mahaagauree	ಮಹಾಗೌರೀ
ARUN	ಅರುಣ್
SHAH E MISAR	ಶಾಹ್ ಎ ಮಿಸಾರ್
EGYPT	ಈಜಿಪ್ಟ್
MEHANDIRATTA	ಮೆಹಂದಿರತ್ತಾ
WIMBORN	ವಿಮ್‌ಬಾರ್ನ್
MADHU BANSARI	ಮಧು ಬನ್ಸಾರಿ
GUALTIER	ಗಾಲ್ಟಿಯರ್
AFTAB	ಅಫ್ತಾಬ್
WRECK	ರೆಕ್
KAUSHIK AMALEAN	ಕೌಶಿಕ್ ಅಮಲೀನ್
BERRY HEAD FORT	ಬೆರ್ರಿ ಹೆಡ್ ಫೋರ್ಟ್
