Bengali	বেঙ্গলি
Bitti	বিট্টি
Swann	সোন্ন
Tochi	টোছি
Teng	টেং
Ayodhya	অযোধ্যা
Akademi	একাডেমি
Raynold	রেনল্ড
Sakil	সাকিল
Basantibala	বাসন্তীবালা
Weymark	ওয়েমার্ক
Mohima	মোহিমা
Dumariya	দমারিয়া
Clarendon	ক্লেরেনডন
Murshed	মুরশেদ
Bowden	বোডেন
Hasantha	হাসান্থ
Sultani	সুলতানি
Ryan	রিয়ন
Ryan	রেয়ন
Ryan	রিয়ান
Ryan	রেন
Ricasoli	রিকাসোয়েল
Nabibar	নবীবর
Droupadi	দ্রোপদী
Droupadi	দ্রৌপদী
Chandubibi	চাঁদুবিবি
Kusumbibi	কুসুমবিবি
Srinath	শ্রীনাথ
Baktar	বক্তার
Fatehnagar	ফতেহনগর
Parbhej	পারভেজ
Dharamraj	ধরমরাজ
Manufacturing	ম্যানুফ্যাকচারিং
Banalata	বনলতা
Zeelandia	জিলানদিয়া
Rajnandini	রাজনন্দিনী
Chlorine	ক্লোরিন
Blixen	ব্লিক্সেন
Missoula	মিসৌলা
Barki	বড়কি
Adawiya	আদায়িত
Rasaraj	রসরাজ
Chaucer	চসার
Humphrey	হামফ্রে
Kalibunga	কালিবাঙ্গা
Mhaskar	মাহস্কার
Narragansett	নরাগ্যান্সেট
Andrews	অ্যান্ড্রুস
Andrews	আন্ড্রুস
Andrews	অ্যানড্রিও
Harinder	হরিন্দর
Debansu	দেবাংশু
Snedden	নিড্ডেন
Udhamsinghnagar	উধমসিংনগর
Sulekha	সুলেখা
Madison	মাডিসন
Seblat	সেব্লাট
Mail	মেল
Fajlu	ফজলু
Dinar	দিনার
Sivni	সিভনি
Asanulla	আসানউল্লা
Igglesden	ইগগ্লিসদান
Suprakash	সুপ্রকাশ
Gail	গেইল
Jaharlal	জওহরলাল
Jaharlal	জহরলাল
Drafts	ড্রাফটস
Absaroka	আবসারোকা
Wisconsin	উইসকনসিন
Tanzania	তানজানিয়া
Mataprasad	মাতাপ্রসাদ
Cantabrian	ক্যান্টাব্রিয়ান
Fatehgarh	ফতেহগড়
Lotni	লোটনী
Wiseman	উইসম্যান
Horiranjan	হরিরঞ্জন
Mohashina	মহাসিনা
Kajalmani	কাজলমনি
Meni	মেনি
Gotegaon	গোতিগাঁও
Parabi	পরবী
Constantinople	কন্সট্যান্টিনোপল
Throgs	থ্রোগস
Muktapada	মুক্তপদ
Haniel	হ্যানিয়েল
Gerald	গেরাল্ড
Mangal	মঙ্গল
Ajit	অজিত
Haun	হুণ
Paklu	পাকলু
Monmouth	মোনমাউথ
Monmouth	মনমাউথ
Singar	সিঙ্গার
Urbashi	উর্বশী
Kenya	কেনিয়া
Surhak	সুরহক
Horizon	হরিজন
Riddle	রিডেল
Hasubala	হাসুবালা
Banirani	বানীরানী
Bhattu	ভাট্টু
Jharucharan	ঝড়ুচরণ
Maksura	মকসুরা
Roshnara	রোশনারা
Disque	ডেস্কু
Shawm	সাওয়ান
Rekhabala	রেখাবালা
Tugrik	তুগরিক
Bakelal	বাকেলাল
Mujtaba	মুজতাবা
Merry	মেরি
Cholang	চোলাং
Surjewal	সুরজেওয়াল
Pritzker	প্রিজকার
Pimpalkhare	পিম্পলখারে
Chinchpokli	চিঞ্চপোকলি
Nimi	নিমি
Peer	পীর
Ramendra	রমেন্দ্র
Sripaticharan	শ্রীপতিচরণ
Chandawal	চন্দউল
Debai	দেবাই
Kaleshwar	কালেশ্বর
Manikuntala	মনিকুন্তলা
Banbihari	বনবিহারী
Prankumar	প্রানকুমার
Abidhosen	আবিদহোসেন
Rajmangal	রাজমঙ্গল
Sidewise	সাইডোয়াইস
Jameson	জ্যেমসন
Duskheda	দুসখেদা
Pharesa	ফারেসা
Bikarma	বিকর্মা
Dineshwar	দীনেশ্বর
Dineshwar	দিনেশ্বর
Bhairabnath	ভৈরবনাথ
Leary	লিয়েরি
Wijegunawardene	ইউজেগুনাওয়ার্ডে
Loungani	লোউঙ্গানি
Mallika	মল্লিকা
Massena	মাসেনা
Hurst	হুরস্ট
Balbindar	বলবিন্দর
Sakinabibi	সাকিনাবিবি
Rustaveli	রাষ্টভিলা
Garhmuktesar	গড়মুক্তেসর
Umedali	উমেদআলি
Laari	লারি
Aachwal	আচওয়াল
Irish	আইরিশ
Sonipat	শোনিপট
Technetium	টেকনেটিয়াম
Navarro	নাভারো
Lakshmidebi	লক্ষ্মীদেবী
Methodist	মেথোডিস্ট
Israt	ইসরাত
Dineshkumar	দিনেশকুমার
Dineshkumar	দীনেশকুমার
Bhadru	ভদরু
Kerry	কেরি
Usha	উষা
Usha	ঊষা
Jodhpur	যোধপুর
Rangubala	রঞ্জুবালা
Macquarie	ম্যাকুইরি
Shushanta	শুশান্ত
Dehu	দেহি
Badshaalam	বাদশাআলম
Prabasi	প্রবাসী
Asha	আশা
Baraigram	বারাইগ্রাম
Shakinabibi	শাকিনাবিবি
Katihar	কাটিহার
Kapugedera	কাপগেডারা
Ghodgaonkar	গোদগাঁওকার
Golsar	গোলসার
Elk	এল্ক
Sureshkumar	সুরেশকুমার
Portugal	পর্তুগাল
Ahiulla	অলিউল্লাহ
Sanhita	সংহিতা
Navigation	নভিগেশান
Coppola	কোপোলা
Shukram	শুকরাম
Bijeta	বিজেতা
Sharmistha	শমিষ্ঠা
Sharmistha	শমির্ষ্ঠা
Marathon	ম্যারাথন
Marathon	ম্যারাথোন
Jones	জোনেস
Jones	জোন্স
Jones	জন্স
Bhombal	ভোম্বল
Dubia	দুবিআ
Jitesh	জীতেশ
Sagarika	সাগরীকা
Gurnee	গুর্নি
Ujjalkumar	উজ্জলকুমার
Jo	জো
Dipendra	দীপেন্দ্র
Durgapada	দূর্গাপদ
Dharmanath	ধর্মনাথ
Salek	সালেক
Anath	অনাথ
Rajiblochan	রাজীবলোচন
Nasi	নাসি
Brajamohan	ব্রজমোহন
Jagtap	জগতাপ
Hirapada	হীরাপদ
Israel	ইসরায়েল
Kothi	কোঠী
Wuankara	ইউয়েঙ্কারা
Kochi	কোচি
Duganpur	দুগানপুর
Bamhrauli	বামহরাওলি
Hesitation	হেজিটেশান
Mahla	মহল
Fram	ফ্রাম
Goldsmith	গোল্ডস্মিথ
Eskalis	এসকালিস
Anila	অনিলা
Roffe	রোফে
Ramdass	রামদাস
Taibu	তাইবু
Security	সিকুরিটি
Liberace	লিবারেস
Sajjanpur	সজ্জনপুর
Manisankar	মনিশংকর
Hirendra	হীরেন্দ্র
Bialik	বিয়ালিক
Pommern	পোমমের্ন
Bushnells	বুশনেলস
Milankumar	মিলনকুমার
Amitabh	অমিতাভ
Kajirul	কাজিরুল
Haynes	হাইনেস
Benkenstein	বেঙ্কিন্টন
Toor	টোর
Wonder	ওয়ান্ডার
Sorrento	সোরেন্টো
Chudki	চুডকী
Taruna	তরুনা
Shantiram	শান্তিরাম
Binda	বিন্দা
Roshnihar	রোশনিহার
Lucas	লুকাস
Nunivak	নুনিভ্যাক
Pramila	প্রমিলা
Door	ডোর
Devastation	ডেভাস্টেশান
Bindu	বিন্দু
Chandicharan	চন্ডীচরণ
Chandicharan	চণ্ডিচরণ
Chandicharan	চণ্ডীচরণ
Dippenaar	ডিপেনার
Thunderer	থানডেরার
Corfu	কোর্ফু
Patibala	পতিবালা
Duguid	ডুগাইড
Georgia	গর্গিয়া
Georgia	গর্জিয়া
Georgia	জর্জিয়া
Shricharan	শ্রীচরণ
Punjabi	পাঞ্জাবী
Tilotama	তিলোত্তমা
Apurba	অপূর্ব
Apurba	অপূর্ব্ব
Apurba	অপূবর্ব
Viljoen	ভিলজোয়েন
Chaurasi	ছৌরাসি
Jaga	জগা
Tunisia	তুনিসিয়া
Electronics	ইলেকট্রনিকস
Belampalli	বেলামপাল্লি
Pandit	পন্ডিত
Pandit	পণ্ডিত
Vaitarna	ভাইটারনা
Kanaklata	কনকলতা
Shantikumar	শান্তিকুমার
Perumpallam	পেরুমপাল্লাম
Sinopec	সিনোপেক
Cameron	কেমেরন
Cameron	কামরোন
Cameron	ক্যামেরন
Shankarkumar	শঙ্করকুমার
Wacoal	ওয়াকোয়াল
Danone	দানোনে
Danone	ডানোন
Wall	ওয়াল
Nureman	নুরেমান
Kamrup	কামরুপ
Jalgaon	জলগাঁও
Drama	ড্রামা
Authority	অথোরিটি
Bantawala	বনতয়ালা
Dharani	ধরণী
Dharani	ধরনী
Ball	বল
Rawlins	রাউলিন
Baghora	বাগহোরা
Pant	পন্থ
Merley	মার্লে
Ghagwal	ঘাগওয়াল
Vaulting	ভোল্টিং
Want	ওয়ান্ট
Saipan	সাইপান
Bachi	বাচি
Tufan	তুফান
Pravasi	প্রভাসী
Sarbari	শর্ব্বরী
Didjeridu	ডিডজেরিডু
Saswadkar	সাসওয়াদকার
Yeager	ইয়াগার
Pipes	পিপেস
Grawemeyer	গ্রাওয়েমার
Mahanama	মাহানামা
Fipple	ফিপলে
Julfikar	জুলফিকার
Sourav	সৌরভ
Neharu	নেহারু
Ahemabibi	আহেমাবিবি
Masior	মসিওর
Rajput	রাজপুত
Ghumman	ঘুম্মান
Duar	দুযার
Patvardhan	পটবর্ধন
Sitaram	সীতারাম
Birmitrapur	বীরমিত্রপুর
Shibucharan	শিবুচরন
Ravishankar	রবিশঙ্কর
Gounaropoulos	গৌনারোপোলোস
Bhavanisagar	ভবানিসাগর
Veer	ভীর
Parvinbegam	পারভিনবেগম
Public	পাবলিক
Lokuarachchi	লোকারাচ্চি
Akhilkumar	অখিলকুমার
Selima	সেলিমা
Najimul	নাজিমুল
Bijoygopal	বিজযচন্দ্র
Bijoygopal	বিজযগোপাল
Selina	সেলিনা
Tewaaraton	তেওয়ারাটওন
Marali	মুরলী
Mer	মার
Barnala	বারনালা
Hospital	হসপিটাল
Der	ডার
Asperen	অ্যাসপেরেন
Amagi	অ্যামাগি
Hussey	হুসসি
Chainabala	চাযনাবালা
Din	দিন
Steuben	স্টেউবেন
Badilal	বদিলাল
Nripen	নৃপেন
Bharatnatyam	ভারতনাট্যম
Derrick	ডেরিক
Crowe	ক্রো
Sohini	সোহিনী
Soya	সোয়া
Khattda	খাত্তদা
Kyushu	কায়ুসু
Kyushu	কিয়াসু
Malcolm	মালকোল্ম
Malcolm	ম্যালকম
Revance	রিভান্স
Biroja	বিরোজা
Soukat	সৌকত
Gurla	গুরলা
Shariful	সাহরিফুল
Naginabibi	নাগিনাবিবি
Liebenberg	লিয়েনবার্গ
Bourdieu	বোরদিউ
Modina	মোদিনা
Nyiragongo	নাইরাগোঙ্গো
Parameshwari	পরমেশ্বরী
Phanibala	ফণীবালা
Pradeep	প্রদীপ
Sahidur	সহিদুর
Katyal	কাটওয়াল
Cellebes	সেলেবস
Shivsagar	শিবসাগর
Rifai	রিফাই
Trading	ট্রেডিং
Sahinur	সাহিনূর
Brown	ব্রোউন
Brown	ব্রোন
Brown	ব্রাউন
Premananda	প্রেমানন্দ
Groen	গ্রোন
Basubala	বাসুবালা
Porte	পোর্টে
Karabi	করবী
Nashwaak	নাশওয়াক
Shalima	শালিমা
Dhandhera	ধানধেরা
Sukhen	সুখেন
Shanti	শান্তি
Volkswagen	ভোল্কসওয়াগেন
Rouen	রাউয়েন
Fatherland	ফাদারল্যান্ড
Rodeo	রোডেও
Iventure	লভেনটুর
Netri	নেত্রী
Rajdhani	রাজধানী
Frederick	ফ্রেডেরিক
Frederick	ফ্রিডেরিক
Khandekar	খান্ডেকার
Bellsouth	বেলসাউথ
Gudur	গুদুর
Bolivia	বলিভিয়া
Sarwan	সারওয়ান
Francesco	ফ্রান্সিসকো
Arif	আরিফ
Shindi	শিন্দি
Frederica	ফ্রিডেরিকা
Cinema	সিনেমা
Deutschland	ডেউচল্যান্ড
Satinath	সতীনাথ
Satinath	সীতানাথ
Atrauli	আটাউলি
Teji	তেজি
Chandrani	চন্দ্রনী
Chandrani	চন্দ্রানী
Nabinchandra	নবীনচন্দ্র
Idrishali	ইদ্রিশআলী
Nirapada	নিরাপদ
Faro	ফারো
Bapikumar	বাপীকুমার
Suranjan	সুরঞ্জন
Thulium	থুলিয়াম
Anubharani	অনুভারানী
Choral	চোরাল
Duff	ডুফ
Iwo	আইও
Jagdeo	জগদেও
Charulata	চারুলতা
Mazra	মাজরা
Rabichandra	রবিচন্দ্র
Pada	পাদা
Exeter	এক্সিটার
Papu	পাপু
Arunbala	অরুনাবালা
Baraminya	বড়মিঞা
Sarkar	সরকার
Sarada	সারদা
Naoshad	নওশাদ
Shanda	সান্দা
Actun	অ্যাকটুন
Dhariwal	ধরিয়াল
Dhariwal	ধারিওয়াল
Phalke	ফাল্কে
Phalke	ফালকে
Debashish	দেবাশীষ
Mihijan	মিহিজান
Bishwarup	বিশ্বরুপ
Situl	সিটুল
Series	সিরিজ
Bipulkumar	বিপুলকুমার
Knoxville	নক্সভিল
Saalburg	সালবাগ
Shachidulal	শচীদুলাল
Najrul	নজরুল
Milankanti	মিলনকান্তি
Palashkumar	পলাশকুমার
Ramuwalia	রামুওয়ালিয়া
Silicon	সিলিকন
Steels	স্টীলস
Binaykumar	বিনযকুমার
Auchan	আউচ্যান
Umeshkumar	উমেশকুমার
Naseda	নাসেদা
Capel	কাপেল
Narani	নারানী
Salaabatpura	সালাবাটপুর
Hanarotelecom	হানারোটেলিকম
Adani	আদানী
Shukchad	শুকচাঁদ
Software	সফটওয়ার
Software	সফটওয়্যার
Gurrai	গুরাই
Dryships	ড্রাইসিপস
Riteshkumar	রীতেশকুমার
Jamerali	জামেরআলী
Methuselah	মেথুসলাহ
Banshidhar	বংশীধর
Nilanjan	নিলাঞ্জন
Parappalar	পারাপ্পালার
Bidhubala	বিধুবালা
Anarbibi	আনারবিবি
Louhara	লোউহারা
Amdekar	আম্বেদকর
Nazar	নাজার
Montshire	মোন্টশিরী
Falaudi	ফালৌদি
Swinburne	সুইনবার্ন
Asraf	আসরাফ
Asraf	আসরফ
Zapateado	জাপেটেয়োড
Ambuj	অম্বুজ
Chapalarani	চপলারাণী
Mustaribibi	মুস্তারীবিবি
Margashyam	মরগশ্যাম
Tapasirani	তাপসীরাণী
Ambur	আমবুর
Tajuddin	তাজুদ্দিন
Putuldevi	পুতুলদেবী
Allstate	অলস্টেট
Watson	ওয়াটসন
Fasteners	ফাস্টনারস
Wade	ওয়াড
Chomu	চোমু
Walters	ওয়াল্টারস
Unitis	উইনিটিস
Mahinur	মহিনুর
Mahinur	মাহিনুর
Mahinur	মহিনূর
Jamshed	জামসেদ
Jainism	জৈনইজম
Hiralal	হীরালাল
Hiralal	হিরালাল
Murarimohan	মূরারীমোহন
Promita	প্রমিতা
Birendra	বীরেন্দ্র
Gripper	গ্রিপার
Mahibur	মহিবুর
Dalsinghsarai	দলসিঙ্ঘসরাই
Shahin	শাহীন
Dadra	দাদরা
Banubegam	বানুবেগম
Acharya	আচার্য
Samiulhak	সামিউলহক
Dazai	ডাজাই
Dadri	দাদরি
Dadri	দাদারি
Mongolia	মোঙ্গোলিয়া
Sewnarine	সেউইনারিন
Strasbourg	স্ট্রসবার্গ
Hareram	হরেরাম
Balboa	বাল্বাও
Langstone	ল্যাংস্টোন
Barclays	বারক্লেস
Aftab	আফতাব
Aftab	আফতব
Binabala	বীনাবালা
Kasei	কাসেই
Chhatarpur	ছাত্তারপুর
Victoria	ভিক্টোরিয়া
Victoria	ভিকটোরিয়া
Irrigation	ইরিগেশন
Chianki	চিয়ানকি
Parijan	পরিজন
Parijan	পরীজান
Parvin	পরভিন
Cheer	চেয়ার
Paris	প্যারিস
Derby	ডার্বি
Bovisand	বোভিস্যান্ড
Leu	লিউ
Balangir	বালানগির
Moslemali	মোসলেমআলী
Janasadharan	জনসাধারন
Rockingham	রকিংহাম
Harwich	হারউইচ
Matibur	মতিবুর
Delran	ডেলরাম
Bhupal	ভূপাল
Amedali	আমেদআলি
Naliniranjan	নলিনীরঞ্জন
Anantadebi	অনন্তদেব
Momonikhatun	মমিনাখাতুন
Subhendu	সুভেন্দু
Popular	পপুলার
Kananbala	কাননবালা
Ferdinand	ফার্দিনান্দ
Dharampur	ধরমপুর
Pothas	পোথস
Mantaj	মন্তাজ
Nasrim	নাসরিম
Nagrada	নাগ্রাডা
Saamra	সামরা
Chintapalli	চিন্তাপল্লী
Powell	পাওয়েল
Powell	পওয়েল
Worth	ওর্থ
Valley	ভ্যাল্লি
Valley	ভেলি
Nashtar	নাশতার
Andrea	অ্যানদ্রিয়া
Saifun	সাইফুন
Pandurang	পান্ডুরাং
Awards	এওয়ার্ড
Awards	এয়ার্ড
Awards	এয়ার্ডস
Sao	সাও
Rawson	রোসন
Pindi	পিনদি
Anzara	আনজারা
Bhaga	ভাগা
Muslima	মুসলিমা
Muslima	মুসলীমা
Nandadulal	নন্দদুলাল
Cancer	ক্যাঙ্কার
Jaanhvekar	জাহ্নেকার
Armstrong	আর্মস্ট্রং
Nicholson	নিকোলসন
Camperdown	ক্যাম্পারডাউন
Ait	আইত
Arabian	আরাবিয়ান
Arabian	আরেবিয়ান
Saadat	সাদাত
Rangabali	রত্নাবলী
Ishak	ইশাক
Shadik	শাদিক
Parsuram	পরসুরাম
Sculpture	স্কউলপ্টুর
Mukhrejakhatun	মুখরেজাখাতুন
Spain	স্পেন
Bhabasankar	ভবশংকর
Krishnagiri	কৃষ্ণগিরি
Nased	নাসেদ
Service	সার্ভিস
Service	সারভিস
Artistic	আরটিস্টিক
Defreitas	ডেফ্রেটস
Bimalbala	বিমলবালা
Guildhall	গুইলধাহল
Dabhadi	দাবহাদি
Shasankashekhar	শশাঙ্কশেখর
Gulabpura	গুলাবপুরা
Mohankumar	মোহনকুমার
Zellweger	জেলওয়েগার
Sati	সতী
Ajmani	অজমানি
Viareggio	ভারেগিও
Rukhshana	রুখশানা
Biochem	বায়োকেম
Nishith	নিশীথ
Smith	স্মীথ
Smith	স্মিথ
Siyang	সিয়াং
Metlife	মেটলাইফ
Metlife	মিটলাইফ
Bottineau	বোটিনিউ
Minhajul	মিনহাজুল
Aachrekar	আচরেকার
Bulti	বুল্টী
Bulti	বুল্টি
Sokhi	সোখি
And	অ্যান্ড
And	অ্যান্ট
And	এন্ড
And	এণ্ড
And	ও
Campaigns	ক্যাম্পেন্স
Haven	হেভেন
Sahani	সাহানী
Abhyankar	অভয়ঙ্কর
Yadav	যাদব
Fazal	ফজল
Fazal	ফাজাল
Columbia	কলম্বিয়া
Columbia	কোলুম্বিয়া
Columbia	কলোম্বিয়া
Columbia	কলাম্বিয়া
Boston	বস্টন
Boston	বোস্টন
Cup	কাপ
Dhaneshwar	ধানেশ্বর
Ajmirabegam	আজমীরাবেগম
Ajmirabegam	আজমিরাবেগম
Fantasy	ফানটাসী
Debashree	দেবশ্রী
Shambhucharan	শম্ভুচরণ
Shambhucharan	শম্ভুচরন
Shambhucharan	শম্ভূচরন
Jayantha	জয়ন্থ
Neksad	নেকসাদ
Loknath	লোকনাথ
Bidhanchandra	বিধানচন্দ্র
Moody	মুডী
Bolda	বোলদা
Kenamu	কেনামু
Godiva	গোদিভা
Balmer	বালমের
Dhanumati	ধানুমতি
Dharap	ধারাপ
Prajapati	প্রজাপতি
Nimkar	নিমকার
Jahanarabibi	জাহানারাবিবি
Anjushree	অঞ্জুশ্রী
Yousuf	ইউসুফ
Yousuf	যুসুফ
Sudhakar	সুধাকর
Villiers	ভিলিয়ার
Yachad	ইয়াচাড
Imam	ইমাম
Bulu	বুলু
Subarnabala	সুবর্ণবালা
Chittoor	চিত্তূর
Chittoor	চিতৌর
Gerhardus	গেরহারডুস
Baharia	বাহরিয়া
Purabi	পূরবী
Cresud	ক্রেসাড
Banwali	বনয়ালি
Atabuddin	আতাবদ্দিন
Bracken	ব্রাকেন
Raigarh	রাইগড়
Mirjahan	মীরজাহান
Mirjahan	মিরজাহান
Suniti	সুনীতি
Koushila	কৌশিলা
Warrior	ওয়ারিওর
Gagandra	গজেন্দ্র
Gagandra	গজেন্দর
Nizambad	নিজামবাদ
Maneri	মানেরি
Narkar	নারকার
Brajokishor	ব্রিজকিশোর
Menard	মেনার্ড
Coretta	কোরেত্তা
Coretta	কোরেটা
Abyssinia	আবিসিনিয়া
Interceptor	ইন্টারসেপ্টর
Horipriya	হরিপ্রিযা
Mastapha	মস্তাফা
Gujhandi	গুজহানদি
Aonla	আওনলা
Badnapur	বাদনাপুর
Achalpur	অচলপুর
Chaudury	চৌধুরী
Hydrogen	হাইড্রোজেন
Nageshwar	নাগেশ্বর
Jaiprakash	জয়প্রকাশ
Piu	পিউ
Basel	বাসেল
Panbati	পানপতি
Fulford	ফুলফোর্ড
Animarani	অনিমারাণী
Swiftsure	সুইফটসিয়োর
Ibha	ইভা
Hoysaleswara	হয়সালেশ্বর
Becharani	বেচারানী
Vinod	ভিনোদ
Junyo	জুনয়ো
Purba	পুরবা
Ratnabala	রত্নাবালা
Abha	আভা
Nilufa	নিলুফা
Vellari	ভেল্লারি
Pathology	প্যাথোলজি
Neherjan	নেহেরজান
