NADHIR	நாதிர்
ABDUL ZALEEL	அப்துல் ஸாலீல்
DHUBRI	துப்ரி
Webb	வெப்
AMRITAP	அம்ரிதாப்
FIFI	ஃபிஃபி
DAILY AIKYA	டெய்லி ஆய்கயா
AHMED YESEVI	அஹ்மத் யெஸெவி
BARCHI ROAD	பார்ச்சி ரோட்
BARABHUM	பராபம்
TIEVE	டீவ்
BHOOSHAN	பூஷன்
HARRY POTTER	ஹாரி பாட்டர்
KRODHI	குரோதி
AURAR	அவ்ரர்
LEMPIRA	லெம்பிரா
Mangalaa	மங்களா
AURAV	ஆரவ்
TEJASWINI	தேஜஸ்வினி
COLLEGE FOOTBALL AWARDS	காலேஜ் ஃபுட்பால் அவார்ட்ஸ்
GRADUATE	கிராஜுவேட்
BETI BETE	பேடி பேடி
CHIP	சிப்
FELICITY	ஃபெலிசிட்டி
Chhaya	சாயா
Chhaya	சஹாயா
CROWNHILL FORT	க்ரவுன்ஹில் ஃப்போர்ட்
CARNEGIE MEDAL	கார்னீஜீ மெடல்
CHIFLEY	சிப்லி
MUKHLIS	முக்லிஸ்
Kenton	கென்டன்
Achindr	அச்சின்தர்
KEITH DABENGWA	கீத் டபேங்க்வா
Snowboarding	ஸ்னோபோர்டிங்
FERUMAN	ஃப்பெருமான்
CHRISTINE	கிரிஸ்டின்
SAATHI	சாதி
RHEINLAND	ரேய்ன்லாண்ட்
FIROZPUR CANTONMENT	ஃபிரோஸ்பூர் கண்டோன்மெண்ட்
GOSHEN	கோஷென்
YUGOSLAVIA	ஸாம்பியா
LUCAS	லுகாஸ்
LUCAS	லூக்காஸ்
MAD BHARE NAIN	மாட் பரே நய்ன்
EDI MURPHY	எட்டி மர்ஃபி
CASSIE	காஸி
NAADKARNI	நாத்கர்னி
ADELE	அடெல்
MALINGA BANDARA	மலிங்கா பண்டாரா
CLIFF	கிளிஃப்
LIERRE	லியெர்
BADAMPAHAR	பதாம்பஹார்
DIXMUDE	டிக்ஸ்முட்
ASOMIYA KHABOR	அஸோமியா காபோர்
Leeds	லீட்ஸ்
GHRISHNESHWAR	கிரினேஷ்வர்
KALINDI	கலிந்தி
JEANNE	ஜீனீ
PREYASI	ப்ரேயஸி
AHLAM	அஹ்லாம்
CHOLAMANDALAM	சோழமண்டலம்
EUDORA	இயுதோரா
FORT CHARLOTTE	ஃப்போர்ட் சார்லட்
KOTHULKAR	கோதுல்கர்
PSIVIDA	பிசிவிதா
RASIKA	ரசிகா
THAIS	தாயிஸ்
DARD	தர்த்
QATL	கத்ல்
SHOR	ஷோர்
MURDE KI JAAN KHATRE MAIN	முர்தே கி ஜான் காத்ரெ மைன்
LIVVY	லிவ்வி
FESTUNG	ஃப்பெஸ்டங்
MERE ARMAN MERE SAPNE	மேரெ அர்மான் மேரா ஸப்னே
Japendra	ஜபேந்திரா
DOST	தோஸ்த்
MUHAYEE	முஹாயீ
MALASHREE	மாலாஸ்ரீ
IQRAAR	இக்ரார்
NEELMADHAV	நீல்மாதவ்
BAARE	பாரே
GIR HADMATIYA	கிர் ஹத்மாட்டியா
DELHI CANTONMENT	டெல்லி கண்டோன்மெண்ட்
ODELE	ஓடெல்
SASSI PUNNU	சாஸி புன்னு
BANARHAT	பானாராட்
COLLIN	கோலின்
BORVIHIR	போர்விஹிர்
BAARI	பாரி
DHAMKEE	தம்கீ
Darin	டேரின்
Adelle	அடெல்
KHIDRAH	கித்ரா
RASIKAA	ரசிகா
LUAKA	லுவாகா
TYRONE	டைரோன்
ABHIJVAALAA	அபிஜ்வாலா
KUMMI	கும்மி
MADRA	மத்ரா
GRAEME HICK	கிராயெம் ஹிக்
SALAKHEN	சலாகென்
SANAT	சனத்
EWEN CHATFIELD	இவென் சாட்ஃப்பீல்ட்
Leader	லீடர்
AMBUR	ஆம்பூர்
EK DUJE KE LIYE	ஏக் துஜே கே லியே
COBALT	கோபால்ட்
VIRESH	விரேஷ்
VENUGOPAL RAO	வேனுகோபால் ராவ்
INDIKA DE SARAM	இண்டிகா டி சரம்
GENNA	ஜென்னா
BURAJ	புராஜ்
SHRINIVAS	ஸ்ரீநிவாஸ்
SYNCHRONISED SWIMMING	சிங்க்ரனைஸ்ட் ஸ்விம்மிங்
ABDUL TAWWAB	அப்துல் தாவ்வாப்
VOYAGER	வாயேஜர்
MARV	மர்வ்
BROWN	புரவுன்
SITAPUR	சீதாபூர்
Newcastle	நியூகாஸல்
Kiran	கிரண்
PRATOSH	பிரதோஷ்
Meghan	மேகன்
SOMPO JAPAN INSURANCE	சோம்போ ஜப்பான் இன்ஷூரன்ஸ்
BALUGAN	பலுகான்
BHENDE	பெந்தே
SHAH E MISAR	ஷா இ மிஸார்
EGYPT	எகிப்து
MEHANDIRATTA	மெஹாதிராட்டா
LES	லெஸ்
MADHU BANSARI	மாது பன்சாரி
GUALTIER	கெளல்ஷியர்
Sahadev	சகாதேவ்
CHEKOV	செகாவ்
BALURAN	பலுரான்
Ranajay	ரனஜய்
SHERIN	ஷெரின்
FAKHIR	ஃபகீர்
PREET KA GEET	ப்ரீத் கா கீத்
DWIPAVATI	த்விபாவதி
SHRADDHA	ஷரத்தா
BERRY HEAD FORT	பெர்ரி ஹெட் ஃப்போர்ட்
ANASAH	அனாஸா
XANTI	ஜாண்டி
LAZAR	லாஸர்
SAFED HAATHI	சாஃப்பெத் ஹாத்தி
SUNDARGARH	சுந்தர்கர்
CHAMKEE	சம்கீ
MERLIN KVILLE	மெர்லின் க்விலே
NEETI	நீதி
SAN FRANCISCO OAKLAND BAY	சன் பிரான்சிஸ்கோ ஓக்லேண்ட் பே
LAKE MALAWI	லேக் மலாவி
ABDUL RAQIB	அப்துல் ராகிப்
CHAKRAJ MAL	சக்ராஜ் மால்
ROSS SEA	ராஸ் சீ
TATA COFFEE	டாடா காஃபி
ABHIMOD	அபிமோத்
BUNAKEN	புனாகென்
PROTACTINIUM	பிரோடாக்டினியம்
FISHER LANAU CENTER	ஃப்பிஷ்ஷர் லானவ் சென்டர்
DONNICA	டோனிக்கா
Snigdhaa	ஸ்னிக்தா
Tarawa	டாராவா
HUSAM	ஹுசம்
RAAN	ரான்
NEERAF	நீரஃப்
FORT YORK	ஃப்போர்ட் யார்க்
MANZIL MANZIL	மன்ஸில் மன்ஸில்
GURUDUTT	குருதுத்
ALBERT SCHWEITZER	ஆல்பர்ட் ஸ்வெய்ட்சர்
PERCELL	பெர்செல்
JAAN	ஜான்
JAHDAMAH	ஜதாமா
RITVIK	ரித்விக்
MAAN	மான்
LOURDES	லூர்த்ஸ்
LEANNE	லியன்
BHARATH REDDY	பரத் ரெட்டி
HARBHAJAN SINGH	ஹர்பஜன் சிங்
RAWAHAH	ரவஹாஹ்
GIRL FRIEND	கேர்ள் ஃபிரண்ட்
INDO GULF	இண்டோ கல்ஃப்
JIVITESH	ஜிவிதேஷ்
QANIAH	கானியா
OPEN DOOR BAPTIST	ஓபன் டோர் பேப்டிஸ்ட்
JAKADIA	ஜகாடியா
UTTAR	உத்தர்
DOBRY	டாப்ரி
PITTSBURG CHURCH OF CHRIST	பிட்ஸ்பர்க் சர்ச் ஆப் கிறிஸ்ட்
KENNETH STAR	கென்னத் ஸ்டார்
MACKINAC	மாக்கினாக்
MATHURA	மதூரா
SANDURI	சந்தூரி
JAI JAWAN JAI KISAN	ஜெய் ஜவான் ஜெய் கிஸான்
ATIFA	அதிஃபா
APOLLO TYRES	அப்போலோ டயர்ஸ்
KARIBA DAM	கரிபா டேம்
KAPISH	கபிஷ்
AANANDIT	ஆனந்தித்
LOCKET	லாக்கெட்
RAVEN	ரவேன்
CONSTANTINOPLE	கான்ஸ்டன்டினோபிள்
ABHAYAPRAD	அபயாபிராத்
KIARA	கியாரா
ROOKIE OF THE YEAR AWARD	ரூக்கி ஆஃப் தி இயர் அவார்ட்
YAMAHA	யமஹா
MAHAMAYA	மஹாமாயா
Tarakeshwar	தாரகேஷ்வர்
LUTERA	லுடேரா
GUMWANT	கும்வான்த்
AASWADEKAR	ஆஸ்வதேகர்
ASHWA KRANTA	ஆஷ்வ கிரந்தா
SAINT LOUIS	செயிண்ட் லூயிஸ்
NISAL FERNANDO	நிசால் ஃபெர்னாண்டோ
DERMATOLOGY	டெர்மெட்டாலஜி
Umran	உம்ரன்
MAATI BALIDAN KI	மாட்டி பாலிதன் கி
FAULADI MUKKA	ஃபௌலதி முக்கா
CHUGACH	சுகாச்
UKHRUL	உக்ரூல்
TEXAS	டெக்ஸாஸ்
Vidler	விட்லர்
SAIB	சயிப்
Oakley	ஓக்லே
DAYAVAN	தயாவன்
AIGHAR	ஐகார்
HASAN JAMIL	ஹசன் ஜமில்
MEHARBANI	மெஹர்பானி
EK THI LADKI	ஏக் தி லட்கி
KALIDAS	காலிதாஸ்
KALIDAS	காளிதாஸ்
CHANDRAKANT PANDIT	சந்திரகாந்த் பன்டிட்
RENO	ரேனோ
Erebus	எரிபஸ்
KORYAK	கோர்யாக்
REGINA ELENA	ரெஜினா இலெனா
MADEIRA	மாதேய்ரா
HERNEDEN	ஹெர்னெடன்
PHADNIS	பட்னிஸ்
ARA	அரா
DHEER	தீர்
DADRI	தாத்ரி
MOULIK	மௌலிக்
BAHERI	பஹேரி
CARADOC	காரடாக்
SAUD	சௌத்
ACHARYANANDAN	ஆசார்யானான்தன்
SIMON DAVIS	சைமன் டேவிஸ்
JAGGER	ஜாகர்
Gularbhoj	குலார்போஜ்
PULASTYA	புலாஸ்தயா
CHRIS KUGGELEIJN	கிரிஸ் குஜ்ஜெலேஜ்ன்
PUSHPINDER	புஷ்பிந்தர்
LADKIYAN	லட்கியான்
LINDORMEN	லின்டார்மென்
AJMANI	அஜ்மானி
AGORI KHAS	அகோரி காஸ்
WAYNE PHILLIPS	வேய்ன் பிலிப்ஸ்
ALAN KNOTT	அலன் நாட்
DEANNE	டீயனே
TIMES MULTIMEDIA	டைம்ஸ் மல்டிமீடியா
RADHESHYAM	ராதேஷியாம்
CHLORINE	க்லோரின்
EK AUR KHOON	ஏக் ஔர் கூன்
LIONEL	லியோனெல்
AAZIM	ஆசிம்
BHANDAPE	பாந்தபே
MOSCOW STATE UNIVERSITY	மாஸ்கோ ஸ்டேட் யூனிவர்சிட்டி
ROBERT WAGNER	ராபர்ட் வாக்னர்
RAIT	ரயித்
BHEEM	பீம்
ATULYA	அட்டூல்யா
ABDUL KHABIR	அப்துல் காபிர்
AONLA	அவோன்லா
Misty	மிஸ்தி
DWIGHT	த்வைட்
ROOP LEKHA	ரூப் லேகா
CATRIN	கேட்ரின்
BADRU	பத்ரு
RAMESH	ரமேஷ்
DENNIS LILLEE	டென்னிஸ் லில்லீ
PATI SEVA	பதி சேவா
KHYATI	கியாத்தி
JUNIOR	ஜூனியர்
JUNYO	ஜுன்யோ
DAINIK SONAR CACHAR	டைனிக் சோனார் காசார்
SAATVIK	சாத்விக்
ANKARA	அங்கரா
ANKARA	அங்காரா
ALOYSIUS	அலோய்சியஸ்
RAMU USTAD	ராமு உஸ்தத்
Temeraire	டெமெராய்ரே
SHAMBHU MAHARAJ	சாம்பு மஹராஜ்
KAISERIN	கைசெரின்
SAINT JOSEPH'S SENIOR SECONDARY SCHOOL, KANPUR	செயிண்ட் ஜோஸப்ஸ் சீனியர் செக்கன்டரி ஸ்கூல், கான்புர்
MCDOUGAL	மெக்டோகல்
MAA KA PYAR	மா கா பியார்
SAWAN AYA RE	சாவன் அயா ரே
ADVAKI	அத்வாகி
Tallis	டாலிஸ்
THURMAN	துர்மன்
Patsy	பேட்சி
DARIEN WAR	டாரியன் வார்
ARK ROYAL	ஆர்க் ராயல்
APNE PARAYE	அப்னே பராயே
FLYING CIRCUS	ஃபிளையிங் சர்க்கஸ்
UTTAR KASHI	உத்தர் காஷி
KASTEEL	காஸ்டீல்
ANGAMUTHU	அங்கமுத்து
KAHANI EK CHOR KI	கஹானி ஏக் சோர் கி
Balasore	பலாசோர்
MARLEE	மார்லி
ERNIE	எர்னி
TASMINE	தஸ்மீன்
ISHAN	இஷான்
HEMIS GOMPA	ஹெமிஸ் கோம்பா
CRICKET WORLD CUP	கிரிக்கெட் வோர்ல்ட் கப்
ANJAAM	அஞ்ஜாம்
ANJALEE	அஞ்சலீ
BAL	பால்
BACARDI-MARTINI INDIA	பக்கார்டி-மார்ட்டினி இந்தியா
ANIKAA	அனிக்கா
DJIBOUTI	டிஜிபௌடி
PYAASI	பியாஸி
MAHINDRA GESCO DEVELOPERS	மஹிந்த்ரா கெஸ்கோ டெவலப்பர்ஸ்
RANESH	ரனேஷ்
KERRY WALMSLEY	கெர்ரி வால்ம்ஸ்லே
GHAZAL	கஜால்
GLORIA STEINEM	க்ளோரியா ஸ்டேனம்
FOOLAN	ஃபூளான்
JAALI NOTE	ஜாலி நோட்
SURJOT	சுர்ஜோத்
FRANCIS FORD COPPOLA	ஃப்ரான்சிஸ் ஃபோர்ட் கொப்போலா
SHEVANTI	ஷெவந்தி
Agrima	அக்ரிமா
TASNEEN	தஸ்னீன்
SARKARI MEHMAN	சர்க்காரி மெஹ்மான்
CAMDEN	கான்டென்
Rajhans	ராஜ்ஹன்ஸ்
RAGHIBAH	ரகிபா
PARVIN	பர்வின்
Dararihan	தாராரிஹன்
Pritilata	ப்ரீத்திலதா
