Tiwana	টিওয়ানা
Karan	করণ
Rasana	রসনা
Ahmar	আহমার
Ramsagar	রামসাগর
Anjani	অনজনি
Pousali	পৌষালী
Kanpuri	কানপুরি
Dhaarap	ধারাপ
Mahakutta	মহাকুট্টা
Karttik	কাত্তির্ক
Gopikrushna	গোপীক্রুশনা
Osman	ওসমান
Ormula	অরমুল
Lehman	লেহম্যান
Kepler	কেপলার
Kepler	কেপ্লার
Virupaksha	বিরূপাক্ষ
Ramnibas	রামনিবাস
Flattery	ফ্লত্তেরি
Asokhar	অসোকহার
Sudakhina	সুদক্ষিনা
Babulal	বাবুলাল
Ashgarali	আসগারআলি
Intel	ইনটেল
Duvvada	দুভ্ভাদা
Bishanath	বিশ্বনাথ
Bishnudeb	বিষ্ণুদেব
Repsol	রেপজল
Dachigam	দাচিগাম
Slack	স্লেক
Pratah	প্রতহ
Shambhupad	শম্ভুপদ
Everdingen	এভারডিংজেন
Joginder	জোগিন্দ্রর
Malesun	মলেসুন
Salle	স্যালি
Gadag	গাদাগ
Colin	কলিন
Colin	কোলিন
Sky	স্কাই
Lychnostatis	লাইচনোসটাটিস
Maisum	মৈসুম
Bin	বিন
Anainaduvu	আনাইনাদুভউ
Rayon	রেয়ন
Kanakprabha	কনকপ্রভা
Barisan	বারিসান
Boordhi	বোর্ধি
Krishnamohan	কৃষ্ণমোহন
Fulton	ফ্লুটন
Madhumati	মধুমতী
Rajekabibi	রাজেকাবিবি
Aijuddin	আইজুদ্দিন
Mutneja	মুত্নেজা
Gourdas	গৌরদাস
Balaji	বালাজি
Balaji	বালাজী
Fuel	ফুয়েল
Port	পোর্ট
To	টু
Pugachevs	পুগাচেভস
Tuslima	তুসলিমা
Saadi	সাদি
Deblal	দেবলাল
Saira	সাইরা
Nishabala	নিশাবালা
Jhor	ঝোর
Galaxidi	গালাক্সিদি
Franklyn	ফ্রাঙ্কলিন
Sitapur	সীতাপুর
Ghumar	ঘুমার
Balaka	বলাকা
Amalkanta	অমলকান্ত
Egg	এগ
Gangarani	গঙ্গারাণী
Flock	ফ্লোক
Bazar	বাজার
Zabbar	জব্বর
Rinjani	রিনজানি
Scandinavian	স্ক্যান্ডিনেভিয়ান
Prannath	প্রাননাথ
Barharwa	বারহায়া
Lambeth	লাম্বেথ
Jahanarabegam	জাহানারাবেগম
Daar	দর
Kaalaj	কালাজ
Binodbihari	বিনোদবিহারী
Trehan	ট্রেহান
Santander	সান্টানদের
Kutumbale	কুটুম্বালে
Phurki	ফুরকী
Zoysa	জয়সা
Behularani	বেহুলারানী
Sadhani	সাধনী
Mdarif	মহঃআরিফ
Jaypee	জইপি
Sarguja	সারগুজ
Belurani	বেলুরানী
Akaash	আকাশ
Nayyar	নায়ার
Line	লাইন
Liltu	লিলটু
Greenspan	গ্রীন্সপন
Robertson	রবার্সন
Robertson	রোবার্টসন
Hafij	হাফিজ
Balco	বালকো
Garland	গারল্যান্ড
Saggu	সাগ্গু
Auto	অটো
Deccanchronicle	ডেকানক্রনিক্যাল
Shulakha	শুলেখা
Marcs	মার্কস
Spacey	স্পেসি
Felis	ফেলিস
Bijainagar	বিজয়নগর
Madanmohan	মদনমোহন
Alembic	অ্যালেম্বিক
Ninetowns	নাইনটাউনস
Bunilal	বুনিলাল
Dhiman	ধীমান
Baze	বাজ
Fortaleza	ফোর্টালিজা
Amadeus	আমাডেয়াস
Edi	এডি
Dartmouth	ডার্টমাউথ
Coca	কোকা
Sherwin	সেরউইন
Angelo	অ্যাঞ্জেলো
Dhavle	দাভলে
Orchards	অর্কার্ডস
Rwenzori	রিওয়েনজোরি
Outreach	আউটরিচ
Shery	শেরি
Kaler	কালের
Durgamani	দুর্গামনি
Container	কন্টেনার
Ben	বেন
Cary	ক্যারি
Macdonald	ম্যাকডোনাল্ড
Mahatma	মহাত্মা
Manjuri	মঞ্জুরী
Fulo	ফুলো
Tridib	ত্রিদিব
Maphijur	মফিজুর
Citadel	সিটাডেল
Geral	গেরাল
Okz	ওকজ
Karve	কার্ভে
Baghdadi	ভাগদাদি
Bichitra	বিচিত্রা
Chandradip	চন্দ্রদীপ
Astaire	আসটেয়ার
Goram	গোরাম
Kazuma	কাজুমা
Pilani	পিলানি
Deb	দেব
Amritendu	অমৃতেন্দু
Su	সু
Mehmud	মেহমূদ
Sheep	শিপ
Hiking	হিকিং
Duquesne	ডুকোয়েসনে
Duquesne	দুকুয়েসনে
Narsad	নরসাদ
Sagina	সাগিনা
Chandrapura	চন্দ্রপুরা
Pitambar	পিতাম্বর
Pitambar	পীতাম্বর
Chauri	চৌরি
Sheikh	শেখ
Sajedali	সাজেদআলী
Maphejala	মফেজলা
Diplana	দিপলানা
Keshgadiya	কেশগাদিয়া
Dior	ডিওর
Wallece	ওয়ালেস
Conn	কোন
Bijaylakshmi	বিজযলক্ষী
Dymchurch	ডাইমচার্চ
Birdi	বীরদী
Matibala	মতিবালা
Lago	লাগো
Goodlass	গুডল্যাস
Manji	মঞ্জী
Plato	প্লেটো
Banbasi	বনবাসী
Reedsport	রিডস্পোর্ট
Brain	ব্রেন
Baisaki	বৈশাকি
Foster	ফোস্টার
Foster	ফুস্টার
Foster	ফোসটার
Visualsoft	ভিসুয়ালসফট
Sahila	সহিলা
Sumantra	সুমন্ত্র
Tamasa	তমসা
Rockwall	রকওয়াল
Parthakumar	পার্থকুমার
Nagamootoo	নাগামুটু
Makatkar	মাকাতকার
Rupnagar	রূপনগর
Bengal	বেঙ্গল
Adarini	আদরিণী
Ardnacrusha	আর্দনাক্রশ
Swarnalota	স্বর্ণলতা
Dubnium	ডাবনিয়াম
Prinz	প্রিঞ্জ
Matijul	মতিজুল
Ahuja	আহুজা
Mansree	মানশ্রী
Salaam	সালাম
Kathua	কাথুয়া
Pricketts	প্রিকেটস
Balaichandra	বলাইচন্দ্র
Tuckaleechee	টুকালীচী
Chitrakot	চিত্রকোট
Bhatni	ভাতনি
Balasor	বালাসোর
Fulbati	ফুলবতী
Doda	ডোডা
Basundhara	বসুন্ধরা
Parikhit	পরিক্ষীত
Oncolytics	অনকোলাইটিক্স
Chhansara	ছানসারা
Bawana	বাওয়ানা
Sunipa	সুনিপা
Mandy	ম্যান্ডি
Grizzly	গিজিলি
Pieris	পেরিস
Abhaychandra	অভযচন্দ্র
Chem	কেম
Bichchhu	বিচ্ছু
Barrier	ব্যারিয়র
Sabed	সাবেদ
Telekom	টেলিকম
Mamatabala	মমতাবালা
Coles	কোলেস
Duggari	দুগ্গারি
Kaila	কাইলা
Namchi	নমচী
Dapanjan	দীপাঞ্জন
Maniklal	মাণিকলাল
Hoon	হুন
Shobhan	শোভন
Khafif	খাফিফ
Somachandra	সোমাচন্দ্র
Alak	অলক
Pareshnath	পরেশনাথ
Venkataramana	ভেঙ্কটরামানা
Commtouch	কমটাচ
Gitika	গীতিকা
Mart	মার্ট
Phajlekrim	ফজলেকরিম
Abdulali	আব্দুলআলি
Neck	নেক
Sahanaz	সাহনাজ
Sambad	সম্বাদ
Tancítaro	টান্সিটারো
Siloso	সিলোসো
Groupe	গ্রুপ
Laabhante	লাভান্তে
Vidur	ভিদুর
Ubajara	উবাজারা
Benibala	বেনীবালা
Petrie	পেট্রি
Riding	রাইডিং
Daire	ডাইরে
Unmadini	উন্মাদিনী
Kaali	কালি
Katsuragi	কাতসুরাগি
Pioneers	পাওনিয়ার্স
Fish	ফিশ
Mahira	মাহিরা
Samu	সমু
Chandmun	চাঁদমুন
Raine	রেইন
Menubala	মেনুবালা
Shakdar	শাকদার
Kanchan	কাঞ্চন
Satnam	সতনাম
Kamalchandra	কমলচন্দ্র
Oarathuppalayam	ওয়ারাথুপ্পালাওয়াম
Rasel	রাসেল
Dharashivkar	দারাশিবকার
Archery	আরচেরি
Impero	ইমপেরো
Albion	অলবিওন
Pulasthi	পুলস্থি
Bladen	ব্লাডেন
Dalrymple	ড্রিমপ্লে
Premio	প্রেমিও
Dadwal	দাদওয়াল
Marsh	মার্স
Minturani	মিন্টুরানী
Drake	দ্রক
Aminuddin	আমিনদ্দিন
Hollebone	হোলিবোন
Telenor	টেলিনর
Upen	উপেন
Rajeswar	রাজেস্বর
Manjrekar	মঞ্জেকার
Gill	গিল
Ingurskaya	ইঙ্গুরস্কায়া
Williamson	উইলিয়ামসন
Anadi	অনাদি
Wijesuriya	ইউজেসুরিয়া
Deoprayag	দেওপ্রয়াগ
Poste	পোষ্ট
Baigaiveeran	বৈগৈভিরন
Orla	ওর্লা
Naosadali	নওসাদআলি
Gouri	গৌরী
Anupama	অনুপমা
Bahadur	বাহাদুর
Padmalaya	পদ্মালয়
Ramadabi	রামাদেবী
Ramila	রমিলা
Aisin	আইসিন
Umarali	উমরআলী
Tinkari	তিনকড়ি
Dammika	ডাম্মিকা
Geoff	গেওফ
Rentu	রেনটু
Kanengara	কানেঙ্গারা
Fedex	ফেডেক্স
Uma	উমা
Castrol	ক্যাস্ট্রল
Rajnath	রাজনাথ
Military	মিলিটারি
Mahabbat	মহববত
Kherli	খের্লি
Midday	মিডডে
Anara	আনারা
Nabira	নবিরা
Nabira	নবীরা
Bhulu	ভুলু
Mukuleshur	মুকলেশুর
Mansi	মানসি
Hopes	হোপস
Barks	বার্কস
Gorachand	গোড়াচাঁদ
Saathi	সাথী
Shiromoni	শিরোমনি
Cholkar	চোলকার
Darke	ডার্কে
Voyager	ভয়েজার
Lepanto	লেপান্টো
Mayurbhanj	ময়ূরভঞ্জ
Rajinder	রাজেন্দ্র
Berrien	বেরিন
Eluru	এলুরা
Derek	ডেরেক
Derek	ড্রেক
Muradali	মুরাদআলি
Munsi	মুন্সী
Shilling	শিলিং
Rekharani	রেখারাণী
Madhuribala	মাধুরীবালা
Faju	ফজু
Cerebus	সেরেবাস
Babenburg	বাবেনবার্গ
Sitesh	সীতেশ
Khattkar	খাত্তকার
Poetry	পোয়েট্রি
Bhise	ভিসে
Dorey	দোরিএ
Bendre	বেন্দ্রে
Norsk	নোর্স্ক
Aktarunbibi	আক্তারুনবিবি
Hasemali	হাসেমআলী
Baharun	বাহরুন
Anu	অনু
Sunitkumar	সুনীতকুমার
Zeven	জেভেন
Adil	আদিল
Nandani	নন্দনী
Rouphali	রউফআলি
Debtosh	দেবতোষ
Smile	স্মাইল
Sachsen	সাচসেন
Dhekiajuli	ধেকিয়াজুলি
Euler	ঈউলার
Debarati	দেবারতি
Milanrani	মিলনরানী
Purnimabibi	পূর্ণিমাবিবি
Gunjhow	গুনঝাও
Reshma	রেশমা
Kendurkar	কেন্দুরকার
Ununhexium	উনউনহেক্সিয়াম
Thurnwald	থুর্নওয়াল্ড
Purnimadabi	পুর্নিমাদেবী
Belapur	বেলাপুর
Jhantulal	ঝন্টুলাল
Razzaq	রাজ্জাক
Azamgarh	আজমগড়
Nobel	নোবেল
Vieux	ভিউক্স
Angela	অ্যাঞ্জেল
Bada	বাদা
Anitadebi	অনীতাদেবী
Hencoate	হেনকোট
Patti	পাট্টি
Khanduja	খানদুজা
Chhatunath	ছুটুনাথ
Chandak	চন্দক
Daporijo	দাপোরিজো
Rupsena	রুপসেনা
Mamatadevi	মমতাদেবী
Rafu	রাফু
Carrefour	ক্যারিফোর
Rupsana	রুপসনা
Malhotra	মালহোত্রা
Rukmani	রুকমনি
Dhulghat	ধূলঘাট
Harpal	হরপাল
Sebika	সেবিকা
Ranasinghe	রনসিংহ
Subhasranjan	সুভাষরঞ্জন
Adesh	আদেশ
Amausi	অমাউসি
Dead	ডেড
Shiladabi	শিলাদেবী
Nagaur	নাগপুর
Debgopal	দেবগোপাল
Ezra	ইজরা
Rajdeo	রাজদেও
Borawar	বোরায়ার
Humayun	হুমায়ুন
Chettinad	চেট্টিনাদ
Time	টাইম
Nasem	নাসেম
Rikta	রিক্তা
Rikta	রীক্তা
Benukar	বেণুকর
Kenth	কেন্থ
Rubidium	রুবিডিয়াম
Coney	কোনে
Grinham	গ্রিনহাম
Portogallo	পোর্টোগালো
Relf	রেলফ
Pico	পিকো
Shahidul	শহিদুল
Safina	সফিনা
Mursidakhatun	মুরসিদাখাতুন
Mohra	মোহরা
Brajen	ব্রজেন
Samarasekera	সমরশেখর
Recovery	রিকভারী
Maunsell	মাউনসেল
Lakkhi	লক্ষী
Beauty	বিউটী
Beijing	বেজিং
Edabali	এডাবলি
Rangela	রঙ্গেলা
Radhamohan	রাধামোহন
Noord	নুর্ড
Idbanu	ইদবানু
Franks	ফ্রাঙ্কস
Pasqual	পাস্কাল
Anantnag	অনন্তনাগ
Malinche	মালিন্স
Ramabatidevi	রমাবতীদেবী
Mannu	মন্নু
Diplomatic	ডিপ্লোমাটিক
Sarakatsanoi	সারাকাটসানোই
Gabri	গাব্রি
Bhadurani	ভাদুরানী
Makhdoom	মাখদুম
Sharman	শারম্যান
Binodbala	বিনোদবালা
Palanca	পালাঙ্কা
Gobinda	গোবিন্দ
Girls	গ্যালস
Bibek	বিবেক
Hasna	হাসনা
Bechurani	বেচুরানী
Dahiya	দাইয়া
Bipula	বিপুলা
Tirumalai	তিরুমালাই
Lansbury	ল্যান্সবেরী
Multani	মুলতানি
Edgcumbe	এজকুম্বে
Nisal	নিশাল
Nripendra	নৃপেন্দ্র
Tulusi	তুলুসী
Alema	আলেমা
Pratim	প্রতীম
Cimatron	কিমাট্রন
Dhakuakhana	ঢাকুয়াখানা
Ajema	আজেমা
Bharath	ভারত
Saleem	সালেম
Kamini	কামিনী
Graphical	গ্রাফিকেল
Pointer	পয়েন্টের
Gatting	গেটিং
Mcclary	মক্কালরি
Scotland	স্কটল্যান্ড
Deolali	দেওলালি
Pirmuhamad	পিরমু্হামাদ
Som	সোম
Amina	আমিনা
Tasman	তাসমান
Samena	সামেনা
Makkad	মাক্কাদ
Dhule	ধুলে
Dhule	ধুলি
Titubala	তিতুবালা
Tapu	তপু
Preussen	প্রেউসেন
Rinakumari	রীনাকুমারী
Karen	কারেন
Olfert	ওলফার্ট
Caroline	ক্যারোলিন
Fernado	ফার্নাদো
Mukti	মুক্তি
Asranada	আসরানাদা
Chana	চানা
Rezaul	রেজাউল
Agori	আগোরি
Atabal	অতাবল
Rahul	রাহুল
Lakshmi	লক্ষ্মী
Dracula	ড্রাকুলা
Kohli	কোহলি
Company	কোম্পানী
Hariprasad	হরিপ্রসাদ
Acorn	একোর্ন
Farjun	ফরজুন
Kirtibas	কৃত্তিবাস
Westlb	ওয়েষ্টলব
Purohit	পুরোহিত
Murchison	মার্চিসন
Bishnathganj	বিষনাথগঞ্জ
Medzhybizh	মেডজাইবিজ
Mirabel	মার্বেল
Sakhealauddin	সেখআলাউদ্দিন
Gainsari	গেনসারি
Java	জাভা
Biochemistry	বায়োকেমিস্ট্রি
Conjunto	কনজুন্টো
Baidhar	বাইধর
Nagpur	নাগপুর
Garth	গার্থ
Word	ওয়ার্ড
Punam	পুনম
Nordiska	নোরডিস্ক
Nurjanbibi	নুরজানবিবি
Mdakbar	মহঃআকবর
Avishkar	আভিষ্কার
Tusubala	টুসুবালা
Slocum	স্লোকাম
Vardha	ওয়ার্ধা
Sarangi	সারাঙ্গি
Kangad	কংগদ
Piuli	পিউলী
Bardhaman	বর্ধমান
Yohan	ওয়ান
Ramala	রমলা
Cuffy	কুফি
Greg	গ্রেগ
Atanu	অতনু
Rajshekhar	রাজশেখর
Jafur	জফুর
Brennius	ব্রেনুইস
Jami	জামি
Maphroja	মফরোজা
Anupshahr	অনুপসর
Lome	লোমা
Kundan	কুন্দন
Mitun	মিতুন
Gajare	গজরে
Isuzu	ইসুজু
Vidler	ভিডলার
Barmer	বারমের
Nirod	নিরোদ
Kronprinz	ক্রোনপ্রিঞ্জ
Wollaston	ওলাসটোন
Bholu	ভোলু
Delhi	দেলহী
Delhi	দিল্লি
Suratjan	সুরতজান
Kyzyl	কাইজল
Behula	বেহুলা
Babagon	বাবগাঁও
Abutaleb	আবুতালেব
Popton	পপটোন
Fossil	ফসিল
Badayoon	বাদায়ুন
Valeureuse	ভালেউরেউস
Ahold	অ্যাহোল্ড
Yarhosen	ইযারহোসেন
Shimanta	শিমন্ত
Kettle	কেটল
Derol	দেরোল
Daraganj	দারাগঞ্জ
Lithuania	লিথুনিয়া
Lithuania	লিথুয়ানিয়া
Mohinder	মোহিন্দ্র
Sujan	সুজন
Sujan	সুজান
Sujan	সূজন
Granth	গ্রন্থ
Sujatali	সুজাতআলি
Biocon	বায়োকন
Alik	অলীক
Pabanchandra	পবনচন্দ্র
Ahwahnee	আহয়ানি
Raanchi	রাঁচী
Kullursandai	কুল্লুরসান্দাই
Phek	ফেক
Makpo	ম্যাকপো
Bandula	বান্ডুলা
Rajnandgaon	রাজনান্দগাঁও
Sohota	সোহোটা
Bijankumar	বিজনকুমার
Dharmpur	ধর্মপুর
Tausif	তৌসিফ
Bahera	বাহেরা
Shaktiprasad	শক্তিপ্রসাদ
Gomoh	গোমো
Wein	উইন
Dohak	দোহাক
Soumi	সৌমি
Moti	মোতি
Poma	পোমা
Chitose	চিতোস
Bozeman	বোজেমান
Pierce	পিয়ার্স
Bunny	বুনি
Sundareshvara	সুন্দরেশভারা
Sibiloi	সিবিলোই
Ramesh	রমেশ
Shachinandan	শচীনন্দন
Meijer	মেইজার
Ritakumari	রীতাকুমারী
Dhrabapada	ধ্রবপদ
Nasrudin	নাসরুদ্দিন
Jason	জাসন
Habsburg	হাবসবার্গ
Ashadulla	আশাদুল্লা
Canastra	কানাস্ত্রা
Kmart	কমার্ট
Samshul	সামশুল
Biju	বিজু
Pushpadasi	পুষ্পদাসী
Nalavade	নাভালদে
Haider	হাইদার
Bland	ব্লান্ড
Sarojini	সরোজিনী
Meherunnisha	মেহেরুন্নিশা
Meherunnisha	মেহেরুন্নিসা
Lothringen	লোথরিংজেন
Snehobala	স্নেহবালা
Dakala	দাকালা
Sirmilik	সিরমিলিক
Golconda	গোলকোন্ডা
Bambi	বাম্বি
Sarabande	সারাবন্দে
Rookie	রোকি
Rookie	রুকিয়ে
Dharmaraj	ধর্মরাজ
Jharnabegam	ঝর্ণাবেগম
Bikashkumar	বিকাশকুমার
Bolai	বলাই
Systems	সিস্টেম
Systems	সিস্টেমস
Garcia	গার্সিয়া
Dabilpur	দাবিলপুর
Wheeler	হুইলার
Majeda	মাজেদা
Majeda	মজেদা
Raosanali	রওসনআলী
Dharitri	ধরিত্রি
Abdullatiph	আবদুললতিফ
Garot	গারোট
Gowarikar	গোয়ারিকার
Chartres	চারট্রেস
Dashanan	দশানন
Sushanta	সূশান্ত
Voltaire	ভোল্টেয়ার
Indradip	ইন্দ্রদীপ
Basira	বাসীরা
Aagale	আগালে
Rippington	রিপিংটন
Knowledge	নলেজ
Kajal	কাজল
Sponge	স্পঞ্জ
Mithubala	মিঠুবালা
Bhulun	ভুলুন
Kerinci	কেরিন্সি
Gandharaj	গন্ধরাজ
Taurus	তাউরুস
Taurus	টোরাস
Friedland	ফ্রাইডল্যান্ড
Vuntut	ভুন্তুত
Viraat	ভিরাত
Ramkisor	রামকিশোর
Vishalgad	বিশালগড়
Tanners	ট্যানারস
Tablu	টাবলু
Mirarani	মিরারানী
Yamashiro	ইয়ামাসিরো
Cox	কক্স
Cox	কোক্স
Sonitpur	শোনিটপুর
Stansted	স্ট্যানস্টেড
Kahlon	কাহলোন
Pateswari	পাটেশ্বরী
Uppar	উপ্পার
Anamika	অনামিকা
Sahabuddin	সাহাবুদ্দিন
Adoni	আদোনি
Bittu	বিট্টু
Merits	মেরিটস
Ghatam	ঘাটাম
Sumter	সামটার
Cleopatra	ক্লিওপেট্রা
Transverse	ট্রান্সভার্স
Lillee	লিল
Kutharaiyar	কুথারাইয়ার
Pujarani	পূজারানী
Bulbul	বুলবুল
Premnath	প্রেমনাথ
Abuhosen	আবুহোসেন
Julekha	জুলেখা
Yazuddin	ইযাজদ্দিন
Raisen	রাইসেন
Burgoyne	বার্গোইন
Penn	পেন
Colossus	কলোসাস
Neshar	নেশার
Thar	থর
Chidambarnaar	চিদামবর্নার
Jbbar	জব্বার
Jabar	জবর
Ivvavik	ইভাভিক
Jaavdekar	জাভদেকার
Ananta	অনন্ত
Baltu	বল্টু
Kashinath	কাশীনাথ
Falmani	ফলমনি
Dadasaheb	দাদাসাহেব
Nabagopal	নবগোপাল
Shefalibibi	শেফালীবিবি
Saifar	সাইফর
Merlin	মার্লিন
Chapel	চ্যাপেল
Sitar	সিতার
Fridhem	ফ্রিধেম
Salemabegam	সালেমাবেগম
Shiva	শিব
Sahenara	সাহেনারা
Bela	বেলা
Nichhubala	নিছুবালা
Hero	হিরো
Hero	হেরো
Gijare	গিজারে
Bogue	বোগু
Ladwa	লাদওয়া
Whitbread	উইথব্রেদ
Ujjain	উজ্জ্বয়ন
Allentown	আলেনটাউন
Bandra	বাঁন্দা
Patasi	পাতাসি
Ghaisas	ঘাইসাস
Pocono	পোকোনো
Tithi	তিথি
Manihar	মনিহার
Raya	রায়া
Rajbalam	রাজবলম
Bray	ব্রে
Chandrima	চন্দ্রিমা
Niroja	নিরোজা
Hopwood	হোপউড
Ambodala	আমবোদালা
Bugul	বুগল
Sunflag	সানফ্ল্যাগ
Sankar	শংকর
Sankar	শঙ্কর
Engineer	ইনজিনার
Madhurima	মধুরিমা
Murshalim	মুরশালিম
Dubrovnik	ডুভ্রবনিক
Chhapra	ছাপরা
Kris	ক্রিস
Marakele	মারাকেলি
Manikchand	মানিকচাঁদ
Ruhini	রুহিনী
Sibanibala	শিবানীবালা
Adavatkar	আদাভাতকার
Mungekar	মুঙ্গেকার
Alokarani	অলোকারানী
Vyavhare	ভিয়াভারে
Trip	ট্রিপ
Munnilal	মুন্নিলাল
Gadulka	গাডুল্কা
Tare	তারে
Nepali	নেপালী
Bishnucharan	বিষ্ণুচরন
Harbour	হারবার
Mahedali	মহেদআলি
Pochiah	পোচিহ
Radico	র্যাডিকো
Koningshooykt	কোনিংসুক্ট
Guaracha	গুয়ারাচা
Sharjahan	শেরজাহান
Dillon	ডিলোন
Kumud	কুমুদ
Danpur	দানপুর
Chabbra	চাবব্রা
Najirabibi	নজিরাবিবি
Lakhbir	লখবীর
Manipuri	মনিপুরি
Thermopylae	থার্মোফাইলে
Anubibi	আনুবিবি
Bhupendar	ভুপেন্দর
Lander	ল্যান্ডার
Udaipur	উদয়পুর
Abulkashem	আবুলকাশেম
Hari	হরি
Gurusar	গুরুসর
Oswego	অসওয়েগো
Manaprita	মনপ্রীত
Sailani	সাইলানি
Shaktinath	শক্তিনাথ
Banita	বনিতা
Badrinath	বদ্রীনাথ
Rebotibegam	রেসমাবেগম
Arjuna	আরজুন
Binay	বিনয়
Dumbra	ডুম্ব্রা
Dharamgarh	ধরমগড়
Shubham	শুভম
Spinnin	স্পিনিং
Dhanpur	ধানপুর
Rimi	রিমি
Baharul	বাহারুল
Rasnara	রসনারা
Sourabi	সৌরবী
