Aadhi	ಆದಿ
Cosier	ಕೋಸಿಯರ್
Count	ಕೌಂಟ್
Cref	ಕ್ರೆಫ್
Cronje	ಕ್ರೋನಿಯೆ
Crookhorn	ಕ್ರಾಕ್ಹಾರ್ನ್
Crossing	ಕ್ರಾಸಿಂಗ್
Crown	ಕ್ರೌನ್
Culture	ಕಲ್ಚರ್
Curtly	ಕರ್ಟ್ಲಿ
Cyber	ಸೈಬರ್
Daal	ದಾಲ್
Dabhoi	ದಾಭೋಯ್
Dabli	ದಾಬಲೀ
Daegu	ಡೇಗು
Daghfal	ದಗ್ಫಲ್
Daghfal	ದಗ್‌ಫಲ್
Dahade	ದಹಾಡೆ
Dahesh	ದಹೇಶ್
Dai	ದೈ
Dalrymple	ಡಾರ್ಲಿಂಪಲ್
Damdama	ದಂದಮಾ
Dannie	ಡ್ಯಾನಿ
Dapeng	ದಾಪೆಂಗ್
Daryl	ಡೆರಿಲ್
Daur	ದೌರ್
David	ಡೇವಿಡ್
Davies	ಡೇವಿಯಸ್
Day	ಡೇ
Dead	ಡೆಡ್
Decembre	ಡಿಸೆಂಬ್ರೆ
Deewane	ದೀವಾನೆ
Deirdre	ಡೀಡ್ರಿ
Deke	ದೇಕೆ
Dekh	ದೇಖ್
Dena	ದೇನಾ
Denzel	ಡೆಂಜಲ್
Depot	ಡಿಪೋ
Deryck	ಡೆರಿಕ್
Des	ದೇಸ್
Desoto	ಡೆಸೊಟೊ
Devdas	ದೇವದಾಸ್
Dhahir	ಧಾಹಿರ್
Dhalaibil	ಧಲೈಬಿಲ್
Dhari	ಧಾರೀ
Dhobari	ಧೊಬರಿ
Diamond	ಡೈಮಂಡ್
Dibosh	ಡಿಬೋಶ್
Dickman	ಡಿಕ್ಮ್ಯಾನ್
Dike	ಡೈಕ್
Dilhara	ದಿಲ್ಹಾರಾ
Dilwale	ದಿಲ್ವಾಲೆ
Dina	ದಿನಾ
Dior	ಡಯರ್
Diplomatic	ಡಿಪ್ಲೊಮೆಟಿಕ್
Disabled	ಡಿಸೇಬಲ್ಡ್
Disk	ಡಿಸ್ಕ್
Disney	ಡಿಸ್ನಿ
Dlink	ಡಿಲಿಂಕ್
Dodi	ಡೋಡಿ
Doll	ಡಾಲ್
Dongargarh	ದೊಂಗರ್ಗಢ್
Dongargarh	ದೊಂಗರ್‌ಗಢ್
Donnanview	ಡೋನಾನ್ವೀವ್
Dono	ದೋನೋ
Doolha	ದುಲ್ಹಾ
Drama	ಡ್ರಾಮಾ
Dravid	ದ್ರಾವಿಡ್
Drawing	ಡ್ರಾಯಿಂಗ್
Dripping	ಡ್ರಿಪ್ಪಿಂಗ್
Drive	ಡ್ರೈವ್
Drucilla	ಡ್ರುಸಿಲ್ಲಾ
Dukakis	ಡ್ಯೂಕಾಕಿಸ್
Dulip	ದುಲಿಪ್
Dwarikesh	ದ್ವಾರಕೀಶ್
Dymock	ಡೈಮಾಕ್
Eddo	ಎಡ್ಡೋ
Edger	ಎಡ್ಗರ್
Edmonds	ಎಡ್ಮಂಡ್ಸ್
Egmore	ಎಗ್ಮೋರ್
Egyptian	ಇಜಿಪ್ಟಿಯನ್
Einstein	ಐನ್ಸ್ಟೀನ್
Elbit	ಎಲ್ಬಿಟ್
Elder	ಎಲ್ಡರ್
Elders	ಎಲ್ಡರ್ಸ್
Ellan	ಎಲಾನ್
Elmer	ಎಲ್ಮರ್
Elong	ಇಲಾಂಗ್
Emburey	ಎಂಬುರೆ
Enterprises	ಎಂಟರ್ಪ್ರೈಸಸ್
Erhard	ಎರಾರ್ಡ್
Eric	ಎರಿಕ್
Ervine	ಇರ್ವಿನ್
Erwin	ಇರ್ವಿನ್
Erzherzog	ಎಜರ್ಜೋಗ್
Estonian	ಇಸ್ಟೊನಿಯನ್
Estrella	ಎಸ್ಟ್ರೆಲ್ಲಾ
Etemad	ಇತ್ತೆಮಾದ್
Eugenia	ಯುಜೇನಿಯಾ
Explor	ಎಕ್ಸ್ಪ್ಲೋರ್
Eyed	ಐಡ್
Fantasy	ಫಾಂಟಸಿ
Fargo	ಫಾರ್ಗೋ
Fasteners	ಫಾಸ್ಟೆನರ್ಸ್
Fazal	ಫಜಲ್
Fazl	ಫಸಲ್
Fernado	ಫೆರ್ನೆಡೊ
Ferrero	ಫೆರೇರೋ
Ferro	ಫೆರೊ
Fond	ಫಾಂಡ್
Fredricka	ಫ್ರೆಡ್ರಿಕಾ
Frissiras	ಫ್ರಿಸಿರಸ್
Frontier	ಫ್ರಂಟಿಯರ್
Gadag	ಗದಗ್
Gadra	ಗಾದರಾ
Galaxidi	ಗೆಲ್ಯಾಕ್ಸಿಡಿ
Galileo	ಗೆಲಿಲಿಯೊ
Gallants	ಗ್ಯಾಲೆಂಟ್ಸ್
Gambhiri	ಗಂಭೀರೀ
Ganagapur	ಗಂಗಾಪುರ್
Ganegama	ಗನೆಗಮಾ
Garam	ಗರಮ್
Garm	ಗರಮ್
Garner	ಗಾರ್ನರ್
Gauss	ಗಾಸ್
Gautama	ಗೌತಮ
Gauvin	ಗೋವಿನ್
Geraldene	ಗೆರಾಲ್ಡಿನ್
Gerita	ಗೆರಿತಾ
Germanium	ಜೆರ್ಮನಿಯಂ
Ghanvatkar	ಘನವಟಕರ್
Ghazali	ಗಜಾಲಿ
Ghoda	ಘೋಡಾ
Ghorakhal	ಘೋರಖಲ್
Ghule	ಘುಲೆ
Gifford	ಗಿಫರ್ಡ್
Gladys	ಗ್ಲೇಡಿಸ್
Glamorgan	ಗ್ಲಾಮರ್ಗನ್
Globe	ಗ್ಲೋಬ್
Gokhale	ಗೋಖಲೆ
Gokte	ಗೊಕ್ಟೆ
Gombe	ಗೋಂಬೆ
Goncourt	ಗಾನ್ಕೋರ್ಟ್
Gorshkov	ಗೋರ್ಷ್ಕೋವ್
Gossaigaon	ಗೊಸೈಗಂಜ್
Goswami	ಗೋಸ್ವಾಮಿ
Govindnagar	ಗೋವಿಂದನಗರ್
Graf	ಗ್ರಾಫ್
Gray	ಗ್ರೇ
Grentech	ಗ್ರೆನ್ಟೆಕ್
Greville	ಗ್ರೆವಿಲ್ಲಿ
Gross	ಗ್ರಾಸ್
Gudha	ಗುಧಾ
Gujarat	ಗುಜರಾತ್
Gulabi	ಗುಲಾಬೀ
Gulf	ಗಲ್ಫ್
Gunderippalam	ಗುಂಡೇರಿಪಲ್ಲಮ್
Gvk	ಜಿವಿಕೆ
Haamid	ಹಾಮಿದ್
Hafeez	ಹಫೀಜ್
Haley	ಹೆಲೇ
Half	ಹಾಫ್
Hamamah	ಹಮಮಾ
Hanste	ಹಂಸ್ತೇ
Hara	ಹಾರಾ
Harsingar	ಹರಸಿಂಗಾರ್
Harvey	ಹಾರ್ವೇ
Harwich	ಹಾರ್ವಿಕ್
Hatao	ಹಟಾವೋ
Hayy	ಹಯ್
Heeron	ಹೀರೋಂ
Hells	ಹೆಲ್ಸ್
Hemmings	ಹೆಮಿಂಗ್ಸ್
Higher	ಹೈಯರ್
Hilfiger	ಹಿಲ್ಫಿಗರ್
Hill	ಹಿಲ್
Hillcrest	ಹಿಲ್ಕ್ರೆಸ್ಟ್
Hindustan	ಹಿಂದೂಸ್ತಾನ್
Hisaab	ಹಿಸಾಬ್
Hiyo	ಹಿಯೊ
Hogg	ಹಾಗ್
Holder	ಹೋಲ್ಡರ್
Hole	ಹೋಲ್
Holiday	ಹಾಲಿಡೇ
Homestead	ಹೋಮ್ಸ್ಟೆಡ್
Honda	ಹೋಂಡಾ
Hone	ಹೋನೆ
Hoon	ಹೂಂ
Hosanna	ಹೊಸಾನಾ
Hub	ಹಬ್
Huddersfield	ಹಡರ್ಸ್ಫೀಲ್ಡ್
Hugli	ಹೂಗ್ಲಿ
Hull	ಹಲ್
Humari	ಹಮಾರೀ
Humpage	ಹಂಪೇಜ್
Hunaydah	ಹುನೇದಾ
Hundred	ಹಂಡ್ರೆಡ್
Hunt	ಹಂಟ್
Husn	ಹುಸ್ನ್
Hydrogenics	ಹೈಡ್ರೋಜೆನಿಕ್ಸ್
Ibadat	ಇಬಾದತ್
Icahn	ಇಚಾನ್
Igglesden	ಇಗ್ಲೆಸ್ಡನ್
Image	ಇಮೇಜ್
Inam	ಇನಾಮ್
Indukaant	ಇಂದುಕಾಂತ್
Ingersoll	ಇಂಗರ್ಸೋಲ್
Insaf	ಇನ್ಸಾಫ್
Instruction	ಇನ್ಸ್ಟ್ರಕ್ಷನ್
Intercontinental	ಇಂಟರ್ಕಾಂಟಿನೆಂಟಲ್
International	ಇಂಟರ್ನ್ಯಾಶನಲ್
Irishmen	ಐರಿಶ್ಮೆನ್
Isle	ಇಸ್ಲೇ
Istvan	ಇಸ್ತ್ವಾನ್
Italiano	ಇಟಾಲಿಯಾನೊ
Itawa	ಇಟಾವಾ
Iventure	ಇವೆಂಚರ್
Jaafaree	ಜಾಫರೀ
Jaani	ಜಾನಿ
Jaarsveld	ಜಾರ್ಸ್ವೆಲ್ಡ್
Jacob	ಜಾಕೊಬ್
Jahrousse	ಜಾರೌಸೀ
Jaise	ಜೈಸೆ
Jaitu	ಜೈತು
Jalti	ಜಲತೀ
Jamai	ಜಮಾಯಿ
Jamda	ಜಮದಾ
Janasadharan	ಜನಸಾಧಾರಣ್
Janjgir	ಜಾಂಜ್ಗಿರ್
Javagal	ಜಾವಗಲ್
Jayanagar	ಜಯನಗರ
Jayantha	ಜಯಂತ
Jayaprakashdaran	ಜಯಪ್ರಕಾಶದರನ್
Jecy	ಜೇಸಿ
Jeeo	ಜೀಯೊ
Jeeta	ಜೀತಾ
Jet	ಜೆಟ್
Jewish	ಜ್ಯುವಿಶ್
Jhuk	ಜುಕ್
Jhukenge	ಝುಕೇಂಗೆ
Jhukta	ಜುಕ್ತಾ
Jilani	ಜಿಲಾನಿ
Jim	ಜಿಮ್
Jin	ಜೈ
Jo	ಜೋ
Jodhpuri	ಜೋಧ್ಪುರಿ
Jodhpuri	ಜೋಧ್‌ಪುರಿ
Johan	ಜೋಹಾನ್
Judge	ಜಡ್ಜ್
Jwar	ಜ್ವಾರ್
Jyotiba	ಜ್ಯೋತಿಬಾ
Jyotirlinga	ಜ್ಯೋತಿರ್ಲಿಂಗ
Kaala	ಕಾಲಾ
Kaamil	ಕಾಮಿಲ್
Kaashi	ಕಾಶಿ
Kab	ಕಬ್
Kabira	ಕಬೀರಾ
Kajaria	ಕಜಾರಿಯಾ
Kalpage	ಕಲ್ಪಗೆ
Kambli	ಕಾಂಬ್ಳಿ
Kanaklata	ಕನಕಲತಾ
Kandamby	ಕಂದಾಂಬಿ
Kandaswamy	ಕಂದಸ್ವಾಮಿ
Kandh	ಖಂಡ್
Kanengara	ಕನೆಂಗರ
Kaneria	ಕನೇರಿಯಾ
Kanhaiya	ಕನಹೈಯಾ
Kanhaiya	ಕನೈಯಾ
Kanhaiya	ಕನ್‌ಹೈಯಾ
Kante	ಕಾಂಟೆ
Kanya	ಕನ್ಯಾ
Karamah	ಕರಮಾ
Karanjwan	ಕರನ್ಜ್ವಾನ್
Karega	ಕರೇಗಾ
Karl	ಕಾರ್ಲ್
Karoonga	ಕರೂಂಗಾ
Karwa	ಕರವಾ
Kasturi	ಕಸ್ತೂರಿ
Katilon	ಕಾತಿಲೋಂ
Katse	ಕಾಟ್ಸೆ
Kawachi	ಕವಾಚಿ
Kazim	ಕಾಜಿಂ
Keats	ಕೀಟ್ಸ್
Kenedy	ಕೆನೆಡಿ
Kennedy	ಕೆನಡಿ
Kenosha	ಕೆನೋಶಾ
Kerr	ಕೆರ್
Kettle	ಕೆಟಲ್
Ketu	ಕೇತು
Khaled	ಖಾಲೆದ್
Khana	ಖಾನಾ
Khayriyah	ಖೇರಿಯಾ
Khayyam	ಖಯ್ಯಾಮಿ
Khelte	ಖೇಲ್ತೇ
Khoda	ಖೋಡಾ
Khooni	ಖೂನೀ
Khufia	ಖುಫಿಯಾ
Kijkuit	ಕಿಜ್ಕುಟ್
Killarney	ಕಿಲಾರ್ನೆ
Kirmani	ಕೀರ್ಮಾನಿ
Kis	ಕಿಸ್
Kise	ಕಿಸೀ
Kisi	ಕಿಸೀ
Kissa	ಕಿಸ್ಸಾ
Kitne	ಕಿತನೆ
Klusener	ಕ್ಲೂಸ್ನರ್
Kol	ಕೊಲ್
Kon	ಕೊನ್
Korene	ಕೋರಿನ್
Kosan	ಕೋಸನ್
Koto	ಕೋಟೋ
Krebs	ಕ್ರೆಬ್ಸ್
Kris	ಕ್ರಿಸ್
Kulasekara	ಕುಲಶೇಖರ
Kutte	ಕುತ್ತೇ
Kyonji	ಕ್ಯೂಜಿ
Lac	ಲ್ಯಾಕ್
Lajwati	ಲಾಜವಾತಿ
Lakshmipathy	ಲಕ್ಷ್ಮಿಪತಿ
Lal	ಲಾಲ್
Land	ಲ್ಯಾಂಡ್
Lanen	ಲೇನೆನ್
Las	ಲಾಸ್
Lasker	ಲಾಸ್ಕರ್
Layegi	ಲಾಯೆಗೀ
Lehmann	ಲೆಹಮನ್
Lei	ಲೇ
Lenge	ಲೇಂಗೆ
Letters	ಲೆಟರ್ಸ್
Lever	ಲೀವರ್
Leyland	ಲೀಲ್ಯಾಂಡ್
Light	ಲೈಟ್
Lindy	ಲಿಂಡಿ
Lisa	ಲೀಸಾ
Lobachevsky	ಲೊಬಾಚೆವಸ್ಕಿ
Loha	ಲೋಹಾ
Lok	ಲೋಕ್
Loydchiles	ಲಾಯ್ಡ್ಚಿಲೀಸ್
Lucky	ಲಕೀ
Luitpold	ಲೂಯಿಟ್ಪೋಲ್ಡ್
Luther	ಲೂಥರ್
Lynn	ಲಿನ್
Lytton	ಲಾಯ್ಟನ್
Maahir	ಮಾಹಿರ್
Maange	ಮಾಂಗೆ
Maar	ಮಾರ್
Macewen	ಮೆಕೆವೆನ್
Mackay	ಮೆಕೇ
Mad	ಮದ್
Madari	ಮದರಿ
Madine	ಮದೀದೆ
Magna	ಮ್ಯಾಗ್ನಾ
Mah	ಮಹಾರಾಷ್ಟ್ರ
Mahajabeen	ಮಹಾಜಬೀನ್
Mahapatra	ಮಹಾಪಾತ್ರ
Mahommed	ಮಹಮೂದ್
Mail	ಮೈಲ್
Mal	ಮಲ್
Malka	ಮಲ್ಕಾ
Maluku	ಮಲುಕು
Mamta	ಮಮತಾ
Manikpur	ಮನಿಕ್ಪುರ್
Manjural	ಮಂಜುರಲ್
Mannar	ಮನ್ನಾರ್
Mansoor	ಮನ್ಸೂರ್
Marcantonio	ಮಾರ್ಕೆಂಟೋನಿಯೊ
Marchais	ಮಾರ್ಕೆಸ್
Marie	ಮೆರೀ
Marjina	ಮರ್ಜೀನಾ
Marudhanadhi	ಮರುಧಾನಧಿ
Masjid	ಮಸ್ಜಿದ್
Mason	ಮಾಸನ್
Matav	ಮಾಟವ್
Mathew	ಮ್ಯಾಥ್ಯೂ
Matt	ಮಟ್
Mattis	ಮಾಟಿಸ್
Maunsell	ಮೌಸೆಲ್
Mawenge	ಮಾವೆಂಗ್
Mawlana	ಮಾವ್ಲಾನಾ
Mcclary	ಮ್ಯಾಕ್ಕ್ಲಾರಿ
Meda	ಮೆಡಾ
Meghdoot	ಮೇಘದೂತ್
Meher	ಮೆಹರ್
Mehrab	ಮಹ್ರಬ್
Mei	ಮೆ
Melleha	ಮೆಲ್ಲೆಹಾ
Memorial	ಮೆಮೊರಿಯಲ್
Menara	ಮೆನಾರಾ
Mengkuang	ಮೆಂಗಕುವಾಂಗ್
Mera	ಮೆರಾ
Mere	ಮೆರೆ
Merit	ಮೆರಿಟ್
Merrill	ಮೆರಿಲ್
Metal	ಮೆಟಲ್
Meth	ಮೇಥ್
Methuselah	ಮೆತುಸೆಲಾ
Mexican	ಮೆಕ್ಸಿಕನ್
Meyrick	ಮೆರಿಕ್
Mhale	ಮ್ಹಾಲೆ
Michener	ಮಿಕೆನರ್
Micholi	ಮಿಚೌಲೀ
Middleton	ಮಿಡ್ಲ್ಟನ್
Milai	ಮಿಲಾಯಿ
Minto	ಮಿಂಟೋ
Mitcham	ಮಿಚಾಮ್
Mitenge	ಮಿಟೇಂಗೆ
Mitsubishi	ಮಿತ್ಸುಬಿಷಿ
Moinuddin	ಮೊಯ್ನುದ್ದೀನ್
Monsanto	ಮಾನ್ಸೆಂಟೊ
Montshire	ಮಾಂಟ್ಶೈರ್
Morosini	ಮೊರೊಸಿನಿ
Morro	ಮೊರೋ
Moultrie	ಮೌಲ್ಟ್ರಿ
Mouth	ಮೌತ್
Mozart	ಮೋಜಾರ್ಟ್
Mrinali	ಮೃಣಾಲಿ
Mujeeb	ಮುಜೀಬ್
Mulhouse	ಮುಲ್ಹೌಸ್
Multi	ಮಲ್ಟಿ
Muneem	ಮುನೀಂ
Munsif	ಮುನ್ಸಿಫ್
Muralitharan	ಮುರಳೀಧರನ್
Murdoch	ಮುರ್ಡೋಕ್
Mushfiqur	ಮುಷ್ಫಿಕರ್
Mutahharah	ಮುತಾಹ್ಹರಾ
My	ಮೈ
Naami	ನಾಮಿ
Naate	ನಾತೆ
Nagamootoo	ನಂಗಮೂಟೂ
Nahin	ನಹೀ
Nakhimov	ನಾಖಿಮೊವ್
Nansen	ನಾನ್ಸೇನ್
Nascopie	ನ್ಯಾಸ್ಕೋಪಿ
Nasheen	ನಶೀನ್
Nawaz	ನವಾಜ್
Naya	ನಹಾ
Nazar	ನಜರ್
Neeli	ನೀಲೀ
Neera	ನೀರಾ
Netravati	ನೇತ್ರಾವತಿ
Night	ನೈಟ್
Nightingale	ನೈಟಿಂಗೇಲ್
Nikita	ನಿಕಿತಾ
Nimrod	ನಿಮ್ರೊಡ್
Nimrod	ನಿಮ್‌ರೋಡ್
Nirdoshi	ನಿರ್ದೋಶೀ
Nishchay	ನಿಶ್ಚಯ್
Nolte	ನೋಲ್ಟೇ
Noord	ನೂರ್ದ್
Northern	ನಾರ್ದರ್ನ್
Northumbria	ನಾರ್ತಂಬ್ರಿಯಾ
Nottingham	ನಾಟಿಂಗ್ಹ್ಯಾಮ್
Novamerican	ನೋವಾಮೆರಿಕನ್
Oldonyo	ಆಲ್ಡೋನ್ಯೋ
Oonch	ಊಂಚ್
Or	ಆರ್
Orly	ಓರ್ಲಿ
Ormula	ಆರ್ಮುಲಾ
Osamu	ಒಸಾಮು
Overland	ಓವರ್ಲ್ಯಾಂಡ್
Paandu	ಪಾಂಡು
Painter	ಪೈಂಟರ್
Palanca	ಪಲಾಂಕಾ
Palung	ಪಲುಂಗ್
Panama	ಪನಾಮಾ
Pantanal	ಪಂಟಾನಲ್
Papps	ಪಾಪ್ಸ್
Par	ಪರ್
Parcel	ಪಾರ್ಸೆಲ್
Parineeta	ಪರಿಣಿತಾ
Parkar	ಪಾರ್ಕರ್
Parks	ಪಾರ್ಕ್ಸ್
Parthiv	ಪಾರ್ಥಿವ್
Parvat	ಪರ್ವತ್
Pascoal	ಪ್ಯಾಸ್ಕೋಲ್
Pasina	ಪಸೀನಾ
Pasqual	ಪಾಸ್ಕಲ್
Patnee	ಪತ್ನಿ
Patton	ಪ್ಯಾಟಾನ್
Pauls	ಪಾಲ್ಸ್
Pavarotti	ಪಾವಾರೋಟೀ
Paying	ಪೇಯಿಂಗ್
Payod	ಪಯೋದ್
Peach	ಪಿಚ್
Pearsall	ಪಿಯರ್ಸಲ್
