Strong	השני
Benzema	בנזמה
Barkan	ברקנ
Masur	מאזור
Yzerman	אייזרמנ
Chitin	כיטינ
Sandman	סאנדמנ
Hudaydah	חודיידה
Cubism	קוביזמ
Guillotine	גיליוטינה
Hava	הבה
Cobalt	קובלט
Thermodynamics	תרמודינמיקה
Racine	רסינ
Stardust	סטארדאסט
Novus	נובוס
Eino	אינו
Gebirtig	גבירטיג
Dogville	דוגוויל
Agenda	אג'נדה
Mongolia	מונגוליה
Gurbanguly	גורבנגולי
Individualist	אינדיבידואליסטי
Chrysoberyl	כריזובריל
Condon	קונדונ
Ecotope	אקוטופ
Tulchyn	טולצ'ינ
Akon	אקונ
Nezval	נזוול
Skandha	סקנדה
Melanin	מלנינ
Gether	גתר
Hispania	היספניה
Rize	ריזה
Tarvisio	טרוויזיו
Berkovic	ברקוביצ'
Vian	ויאנ
Schur	שור
Therapsida	תראפסידה
Buffalo	באפלו
Borzage	בורזאג'
Freak	פריק
Immortal	אימורטל
Gaudio	גאודיו
Zilber	זילבר
Mcdyess	מקדייס
Cosmogony	קוסמוגוניה
Membrane	ממברנה
Kiss	קיס
Miss	מיס
Dunga	דונגה
Pytheas	פיתאס
Achilles	אכילס
Cormorant	קורמורנימ
Marocchinate	מארוקינאטה
Grechko	גרצ'קו
Wien	וינה
Elser	אלזר
Gere	גיר
Evergrey	אברגריי
Bordeaux	בורדו
Nirenberg	נירנברג
Arbeitman	ארבייטמנ
Origami	אוריגמי
Microtome	מיקרוטומ
Orff	אורפ
Tauber	טאובר
Optics	אופטיקה
Effects	אפקטס
Effects	אפקט
Filiki	פיליקי
Shiratori	שירטורי
Gentle	ג'נטל
Chancellors	קאנצלר
Krishnamurti	קרישנמורטי
Bingo	בינגו
Shafaq	שאפאק
Almon	אלמונ
Samoyed	סמוייד
Cratylus	קראטילוס
Paliashvili	פליאשווילי
Majdal	מג'דל
Conforte	קונפורטי
Magna	מגנה
Ampoule	אמפולה
Manhigut	מנהיגות
Mortara	מורטארה
Tucholsky	טוכולסקי
Netiquette	נטיקה
Mesudarim	מסודרימ
Hell	הל
Fuad	פואד
Teratogenesis	טרטוגנ
Ratosh	רטוש
Juhuri	ג'והורי
Tribune	טריבונ
Zoroastrianism	זורואסטריות
Amasya	אמסיה
Borsec	בורסק
Khaldei	חאלדיי
Albright	אולברייט
Broza	ברוזה
Dumars	דיומרס
Castaway	קאסטאווי
Panait	פנאיט
Baron	וב
Baron	ברונ
Baron	ביירונ
Baron	הברונ
Bagshot	באגשוט
Cytogenetics	ציטוגנטיקה
Desperation	דספריישנ
Andropov	אנדרופוב
Eileithyia	איליתיה
Ochamchire	אוצ'מצ'ירה
Epigoni	אפיגוני
Myrtilus	מירטילוס
Lysol	ליזול
Elbegdorj	אלבגדורג'
Averbukh	אברבוכ
Marais	המארה
Marais	מארה
Smirnoff	סמירנופ
Postnik	פוסטניק
Masmuda	מסמודה
Electrode	אלקטרודה
Asulin	אסולינ
Jinn	ג'ינ
Bazaar	והבזאר
Babur	באבור
Velociraptor	ולוצירפטור
Troposphere	טרופוספירה
Pekahiah	פקחיה
Guth	גות'
Ramones	ראמונס
Killers	הקילרס
Sashimi	סשימי
Brynner	ברינר
Potocki	פוטוצקי
Mishmar	משמר
Elementary	אלמנטרית
Valine	ולינ
Sarabande	סרבנד
Ginny	ג'יני
Salinometer	סלינומטר
Periscope	פריסקופ
Kenobi	קנובי
Građanski	גראדאנסקי
Chase	צ'ייס
Bone	בונ
Hemoglobin	המוגלובינ
Akhaltsikhe	אחלציחה
Berenice	ברניקי
Etoumbi	אטומבי
Benkow	בנקוב
Czerniak	צ'רניאק
Krupp	קרופ
Arsenide	ארסניד
Moor	מור
Westerweel	וסטרויל
Nuremberg	נירנברג
Amotz	אמוצ
Frazier	פרייזר
Brezhneva	ברז'נייבה
Bodel	בודל
Somua	סומואה
Yukawa	יוקאווה
Southern	סאת'רנ
Husayni	חוסייני
Cuvier	קובייה
Orot	אורות
Parapsychology	פאראפסיכולוגיה
Sparrow	ספארו
Thrombosis	תרומבוס
Galante	גאלאנט
Elis	אליס
Pardes	פרדס
Union	אוניה
Sailor	סיילור
Haayal	האייל
Shaprut	שפרוט
Tehomi	תהומי
Lanier	לנייר
Yetzirah	יצירה
Delta	דלתא
Delta	דלתה
Yerushalayim	ירושלימ
Euryapsida	פראפסידה
Mithras	מיתרה
Offenbach	אופנבכ
Captain	קפטנ
Fermion	פרמיונ
Conglomerate	קונגלומרט
Cement	צמנט
Traun	טראונ
Goblin	גובלינ
Messenia	מסניה
Anderlecht	אנדרלכט
Chlorus	כלורוס
Tnuva	תנובה
Megumi	מגומי
Deductive	דדוקציה
Buccaneers	באקנירס
Agatharchides	אגאתרכידס
Rayman	ריימנ
Pilaf	פילאפ
Gelfand	גלפנד
Mosquito	מוסקיטו
Keret	קרת
Lesseps	לספס
Browder	ברוודר
Onassis	אונאסיס
Yoram	יורמ
Philby	פילבי
Saruq	סרוק
Hipparchia	היפרכיה
Emil	אמיל
Silmarillion	הסילמריליונ
Ulvaeus	אולבאוס
Elohim	אלוהימ
Lykhny	לוחני
Ellipse	אליפסה
Amarth	אמארת'
Emmerich	אמריכ
Hanami	האנאמי
Lavrentiy	לברנטי
Vigintisexviri	ויגינטיסקסוירי
Chromatography	כרומטוגרפיה
Saparmurat	ספרמורט
Pseudomorph	פסאודומורפיזמ
Shirer	שיירר
Gayatri	גאיטרי
Binaisa	בינייסה
Merlin	מרלינ
Barber	בארבר
Minimal	מינימלי
Minimal	מינימל
Megalopolis	מגלופוליס
Hummer	האמר
Nepos	נפוס
Yuval	יובל
Arrigo	אריגו
Pune	פונה
Goldmark	גולדמארק
Midreshet	מדרשת
Tadeusz	טדאוס
Tadeusz	תדאוש
Tadeusz	תדיאוש
Fawzi	פאוזי
Thesis	תזה
Merce	מרס
Rhenium	רניומ
Tabbai	טבאי
Sakari	סאקארי
Moriendi	מוריינדי
Vauvenargues	וובנארז'
Pennsylvania	פנסילבניה
Barrett	בארט
Henson	הנסונ
Nathans	נתנס
Paparizou	פפאריזו
Steroid	סטרואיד
Purine	פורינ
Rawaki	ראוואקי
Karavan	קרוונ
Gauss	גאוס
Phasor	פאזור
Wand	ואנד
Jabberwocky	ג'ברווקי
Gellius	גליוס
Sycomorus	שקמה
Cajal	קאז'אל
Rysanek	ריזאנק
Jakarta	ג'קרטה
Meister	מייסטר
Praxiteles	פרקסיטלס
Chujiro	צ'וג'ירו
Compostela	קומפוסטלה
Olimpico	אולימפיקו
Edensor	אדנזור
Phonetic	הפונטי
Ureno	וראינה
Kooser	קוסר
Habitus	הביטוס
Knopfler	נופלר
Fruitarianism	פרוקטרייניזמ
Renaissance	רנסאנס
Pankiewicz	פאנקייוויצ'
Blobel	בלובל
Bohr	בוהר
Anthropology	אנתרופולוגיה
Paulownia	פאולוניה
Svevo	זבבו
Urology	אורולוגיה
Bagot	באגוט
Nouveau	נובו
Biophysics	ביופיזיקה
Kapp	קאפ
Jamaica	ג'מייקה
Khurtsidze	חורצידזה
Patch	פאטצ'
Kras	קראס
Flor	פלור
Landor	לנדור
Tractor	טרקטור
Byte	בית
Theudas	תוידאס
Sauckel	זאוקל
Gladiator	גלדיאטור
Galadriel	גלדריאל
Gader	גדר
Pleistocene	פליסטוקנ
Yated	יתד
Agbaje	אגבג'ה
Prisoner	האסיר
Moldovenesc	מולדובנסק
Lilongwe	לילונגווה
Kaduri	כדורי
Asthma	אסתמה
Buck	בק
Aretha	אריתה
Stratosphere	סטרטוספירה
Marathi	מרטהי
Peppard	פפארד
Vayeshev	וישב
Courante	קוראנט
Weasley	ויזלי
Decidendi	דיסידנדי
Hegemony	הגמוניה
Schist	שיסט
Nouvelle	נובל
Creveld	קרפלד
Fforde	פורד
Samadhi	סמדהי
Scholem	שלומ
Friedan	פרידנ
Kippur	כיפור
